/* F3 - Waermeleitung in Kristallen - HZB - Hanjo Ryll, Bastian Klemke
/* Spannung am Agilent 6.667000E+0 V
/* Pulszeit am Agilent 1.200000E-2 s
/* t [s]   R1 [Ohm]  R2 [Ohm] 
-1.000000E+0     1.759036E+2     1.511986E+2
-9.776373E-1     1.759056E+2     1.512159E+2
-9.550023E-1     1.759029E+2     1.512159E+2
-9.312062E-1     1.759120E+2     1.512062E+2
-9.066505E-1     1.758996E+2     1.511904E+2
-8.775377E-1     1.758820E+2     1.511968E+2
-8.475690E-1     1.758817E+2     1.511842E+2
-8.178315E-1     1.758790E+2     1.511875E+2
-7.920957E-1     1.758831E+2     1.511951E+2
-7.503982E-1     1.758893E+2     1.511853E+2
-7.275815E-1     1.758686E+2     1.511942E+2
-7.049766E-1     1.758894E+2     1.512056E+2
-6.727953E-1     1.759009E+2     1.512053E+2
-6.454029E-1     1.758937E+2     1.512053E+2
-6.195698E-1     1.758795E+2     1.511958E+2
-5.909739E-1     1.758914E+2     1.511879E+2
-5.614538E-1     1.758913E+2     1.511989E+2
-5.300102E-1     1.758937E+2     1.511989E+2
-5.043054E-1     1.758925E+2     1.511998E+2
-4.799929E-1     1.759028E+2     1.511998E+2
-4.566660E-1     1.758932E+2     1.512120E+2
-4.332128E-1     1.758718E+2     1.511826E+2
-3.969378E-1     1.758639E+2     1.511822E+2
-3.679633E-1     1.758955E+2     1.511966E+2
-3.428154E-1     1.758793E+2     1.511906E+2
-3.066301E-1     1.758861E+2     1.511932E+2
-2.760062E-1     1.759167E+2     1.512279E+2
-2.523603E-1     1.759134E+2     1.512029E+2
-2.299161E-1     1.758940E+2     1.512048E+2
-2.021980E-1     1.758943E+2     1.512048E+2
-1.769819E-1     1.758940E+2     1.512020E+2
-1.489773E-1     1.758951E+2     1.512020E+2
-1.196308E-1     1.758999E+2     1.512074E+2
-8.662367E-2     1.759099E+2     1.512095E+2
-6.172705E-2     1.759226E+2     1.512270E+2
-3.440189E-2     1.759130E+2     1.512150E+2
-9.880543E-3     1.758852E+2     1.511931E+2
2.300930E-2     1.758955E+2     1.511931E+2
0.000000E+0     1.759064E+2     1.511982E+2
2.898312E-2     1.759064E+2     1.511151E+2
5.396795E-2     1.757981E+2     1.509561E+2
8.295155E-2     1.755361E+2     1.508874E+2
1.169324E-1     1.755206E+2     1.508874E+2
1.449165E-1     1.755288E+2     1.508856E+2
1.788974E-1     1.755568E+2     1.509277E+2
2.028837E-1     1.755660E+2     1.509404E+2
2.278695E-1     1.755824E+2     1.509489E+2
2.528563E-1     1.755824E+2     1.509775E+2
2.848372E-1     1.755940E+2     1.509775E+2
3.113065E-1     1.756673E+2     1.510126E+2
3.393145E-1     1.756576E+2     1.510164E+2
3.664107E-1     1.756669E+2     1.510281E+2
3.924580E-1     1.756741E+2     1.510306E+2
4.234595E-1     1.756937E+2     1.510593E+2
4.540143E-1     1.757228E+2     1.510613E+2
4.862661E-1     1.757228E+2     1.510729E+2
5.124125E-1     1.757362E+2     1.510729E+2
5.383139E-1     1.757357E+2     1.511000E+2
5.717282E-1     1.757601E+2     1.511004E+2
6.020007E-1     1.757861E+2     1.511004E+2
6.322498E-1     1.757730E+2     1.511141E+2
6.635785E-1     1.757709E+2     1.511109E+2
6.864100E-1     1.757696E+2     1.511288E+2
7.157526E-1     1.757696E+2     1.511377E+2
7.440162E-1     1.758059E+2     1.511452E+2
7.724814E-1     1.758275E+2     1.511452E+2
8.097148E-1     1.758263E+2     1.511504E+2
8.344049E-1     1.758448E+2     1.511646E+2
8.605061E-1     1.758147E+2     1.511534E+2
8.907752E-1     1.758257E+2     1.511579E+2
9.228768E-1     1.758258E+2     1.511579E+2
9.473076E-1     1.758411E+2     1.511709E+2
9.807143E-1     1.758594E+2     1.511793E+2
1.010517E+0     1.758519E+2     1.511709E+2
1.034563E+0     1.758464E+2     1.511662E+2
1.060255E+0     1.758339E+2     1.511662E+2
1.090843E+0     1.758423E+2     1.511669E+2
1.118615E+0     1.758616E+2     1.511669E+2
1.148021E+0     1.758616E+2     1.511802E+2
1.172881E+0     1.758578E+2     1.511754E+2
1.201716E+0     1.758574E+2     1.511808E+2
1.232091E+0     1.758637E+2     1.511847E+2
1.261277E+0     1.758767E+2     1.511913E+2
1.288492E+0     1.758434E+2     1.511744E+2
1.326293E+0     1.758490E+2     1.511841E+2
1.349520E+0     1.758665E+2     1.511885E+2
1.375456E+0     1.758665E+2     1.511829E+2
1.405719E+0     1.758725E+2     1.511946E+2
1.433592E+0     1.758641E+2     1.511946E+2
1.462775E+0     1.758520E+2     1.511881E+2
1.496106E+0     1.758635E+2     1.511844E+2
1.522511E+0     1.758836E+2     1.512046E+2
1.547992E+0     1.758885E+2     1.512096E+2
1.571877E+0     1.758809E+2     1.511999E+2
1.597474E+0     1.758809E+2     1.511999E+2
1.620521E+0     1.758873E+2     1.511989E+2
1.644992E+0     1.758858E+2     1.512033E+2
1.667282E+0     1.758932E+2     1.512030E+2
1.690255E+0     1.758948E+2     1.512170E+2
1.719264E+0     1.759022E+2     1.512015E+2
1.747328E+0     1.758893E+2     1.512015E+2
1.775473E+0     1.758708E+2     1.511944E+2
1.805907E+0     1.758873E+2     1.512013E+2
1.834068E+0     1.758816E+2     1.511991E+2
1.867997E+0     1.758805E+2     1.511991E+2
1.894947E+0     1.758734E+2     1.511876E+2
1.919218E+0     1.758890E+2     1.511876E+2
1.944000E+0     1.759052E+2     1.511985E+2
1.967279E+0     1.758882E+2     1.512103E+2
1.998571E+0     1.758885E+2     1.511857E+2
2.034932E+0     1.758761E+2     1.511869E+2
