/* F3 - Waermeleitung in Kristallen - HZB - Hanjo Ryll, Bastian Klemke
/* Spannung am Agilent 6.667000E+0 V
/* Pulszeit am Agilent 1.200000E-2 s
/* t [s]   R1 [Ohm]  R2 [Ohm] 
-1.000000E+0     1.758868E+2     1.511980E+2
-9.745464E-1     1.758493E+2     1.511678E+2
-9.488916E-1     1.758610E+2     1.511903E+2
-9.169226E-1     1.758798E+2     1.511885E+2
-8.812871E-1     1.758832E+2     1.511955E+2
-8.553700E-1     1.758885E+2     1.511924E+2
-8.324323E-1     1.758885E+2     1.511924E+2
-8.056698E-1     1.758914E+2     1.511965E+2
-7.823038E-1     1.758894E+2     1.511966E+2
-7.561569E-1     1.758804E+2     1.511805E+2
-7.252469E-1     1.758670E+2     1.511954E+2
-6.902771E-1     1.758957E+2     1.511954E+2
-6.651568E-1     1.758861E+2     1.511954E+2
-6.352921E-1     1.758833E+2     1.511947E+2
-6.114001E-1     1.758833E+2     1.512008E+2
-5.868793E-1     1.758986E+2     1.512107E+2
-5.634255E-1     1.758992E+2     1.511948E+2
-5.415273E-1     1.759003E+2     1.512007E+2
-5.147424E-1     1.758936E+2     1.512007E+2
-4.915628E-1     1.758797E+2     1.511841E+2
-4.681506E-1     1.759001E+2     1.511878E+2
-4.347944E-1     1.758790E+2     1.511931E+2
-4.005828E-1     1.758844E+2     1.512089E+2
-3.761272E-1     1.758929E+2     1.511831E+2
-3.451676E-1     1.758888E+2     1.511831E+2
-3.201132E-1     1.758953E+2     1.511962E+2
-2.961168E-1     1.758788E+2     1.511790E+2
-2.616773E-1     1.758690E+2     1.511780E+2
-2.332726E-1     1.758988E+2     1.511926E+2
-2.032571E-1     1.758818E+2     1.511926E+2
-1.790767E-1     1.758818E+2     1.511926E+2
-1.471639E-1     1.758670E+2     1.512091E+2
-1.126981E-1     1.758937E+2     1.512096E+2
-8.608007E-2     1.758917E+2     1.512014E+2
-5.812597E-2     1.758975E+2     1.511919E+2
-3.045893E-2     1.758643E+2     1.511919E+2
-2.624035E-3     1.759088E+2     1.512020E+2
2.824640E-2     1.759022E+2     1.511846E+2
0.000000E+0     1.759022E+2     1.511923E+2
3.133821E-2     1.758757E+2     1.510607E+2
6.148338E-2     1.755466E+2     1.509261E+2
8.632898E-2     1.754824E+2     1.509261E+2
1.175194E-1     1.754810E+2     1.508579E+2
1.406641E-1     1.754808E+2     1.508618E+2
1.662931E-1     1.754947E+2     1.509021E+2
2.004657E-1     1.755296E+2     1.509021E+2
2.263498E-1     1.755501E+2     1.509333E+2
2.552824E-1     1.755941E+2     1.509333E+2
2.834277E-1     1.756098E+2     1.509565E+2
3.083463E-1     1.756353E+2     1.509932E+2
3.323565E-1     1.756335E+2     1.509990E+2
3.633604E-1     1.756645E+2     1.510083E+2
3.879547E-1     1.756446E+2     1.510018E+2
4.185719E-1     1.756717E+2     1.510018E+2
4.473023E-1     1.756966E+2     1.510282E+2
4.805770E-1     1.757188E+2     1.510691E+2
5.063272E-1     1.757308E+2     1.510754E+2
5.353589E-1     1.757428E+2     1.510910E+2
5.653839E-1     1.757334E+2     1.510801E+2
5.940218E-1     1.757608E+2     1.510976E+2
6.255951E-1     1.757782E+2     1.510997E+2
6.530118E-1     1.757782E+2     1.510831E+2
6.807818E-1     1.757576E+2     1.510957E+2
7.103696E-1     1.757496E+2     1.510957E+2
7.427268E-1     1.757802E+2     1.511257E+2
7.708054E-1     1.758125E+2     1.511257E+2
8.004932E-1     1.757968E+2     1.511453E+2
8.323750E-1     1.758103E+2     1.511196E+2
8.614125E-1     1.757784E+2     1.511240E+2
8.916717E-1     1.757784E+2     1.511250E+2
9.273634E-1     1.758051E+2     1.511250E+2
9.576111E-1     1.757995E+2     1.511255E+2
9.814153E-1     1.758133E+2     1.511407E+2
1.005404E+0     1.758221E+2     1.511518E+2
1.028565E+0     1.758192E+2     1.511529E+2
1.053119E+0     1.758307E+2     1.511584E+2
1.077724E+0     1.758169E+2     1.511584E+2
1.104054E+0     1.758169E+2     1.511429E+2
1.127395E+0     1.758177E+2     1.511499E+2
1.158013E+0     1.758231E+2     1.511584E+2
1.197728E+0     1.758314E+2     1.511575E+2
1.225139E+0     1.758480E+2     1.511704E+2
1.248401E+0     1.758626E+2     1.511704E+2
1.273486E+0     1.758465E+2     1.511780E+2
1.296347E+0     1.758442E+2     1.511658E+2
1.328083E+0     1.758442E+2     1.511636E+2
1.353010E+0     1.758379E+2     1.511957E+2
1.386407E+0     1.758780E+2     1.511957E+2
1.414036E+0     1.758698E+2     1.511683E+2
1.442346E+0     1.758814E+2     1.511963E+2
1.474205E+0     1.758584E+2     1.511706E+2
1.497602E+0     1.758549E+2     1.511768E+2
1.522573E+0     1.758680E+2     1.511946E+2
