/* F3 - Waermeleitung in Kristallen - HZB - Hanjo Ryll, Bastian Klemke
/* Spannung am Agilent 6.667000E+0 V
/* Pulszeit am Agilent 1.200000E-2 s
/* t [s]   R1 [Ohm]  R2 [Ohm] 
-1.000000E+0     1.758923E+2     1.511699E+2
-9.745193E-1     1.758675E+2     1.511724E+2
-9.486752E-1     1.758574E+2     1.511724E+2
-9.243035E-1     1.758610E+2     1.511724E+2
-8.990812E-1     1.758645E+2     1.511657E+2
-8.754282E-1     1.758645E+2     1.511653E+2
-8.492389E-1     1.758587E+2     1.511585E+2
-8.276949E-1     1.758513E+2     1.511720E+2
-8.053012E-1     1.758676E+2     1.511760E+2
-7.788329E-1     1.758703E+2     1.511760E+2
-7.555070E-1     1.758760E+2     1.511760E+2
-7.284861E-1     1.758795E+2     1.511812E+2
-7.054267E-1     1.758454E+2     1.511633E+2
-6.805396E-1     1.758567E+2     1.511791E+2
-6.450772E-1     1.758567E+2     1.511765E+2
-6.132078E-1     1.758567E+2     1.511765E+2
-5.883641E-1     1.758609E+2     1.511704E+2
-5.545945E-1     1.758635E+2     1.511966E+2
-5.308299E-1     1.758908E+2     1.511935E+2
-4.993753E-1     1.758826E+2     1.511973E+2
-4.697266E-1     1.758761E+2     1.511667E+2
-4.421949E-1     1.758662E+2     1.511667E+2
-4.143872E-1     1.758705E+2     1.511815E+2
-3.893528E-1     1.758448E+2     1.511598E+2
-3.652997E-1     1.758695E+2     1.511838E+2
-3.343911E-1     1.758770E+2     1.511893E+2
-3.084373E-1     1.758642E+2     1.511791E+2
-2.857227E-1     1.758795E+2     1.511813E+2
-2.457538E-1     1.758669E+2     1.511771E+2
-2.224646E-1     1.758669E+2     1.512019E+2
-1.957345E-1     1.758836E+2     1.511885E+2
-1.644297E-1     1.758733E+2     1.511690E+2
-1.311564E-1     1.758637E+2     1.511690E+2
-1.015482E-1     1.758793E+2     1.511688E+2
-6.935692E-2     1.758820E+2     1.511875E+2
-4.540110E-2     1.758704E+2     1.511871E+2
-1.959991E-2     1.758810E+2     1.511893E+2
5.413055E-3     1.758810E+2     1.511884E+2
0.000000E+0     1.758796E+2     1.511884E+2
2.185106E-2     1.758689E+2     1.512021E+2
4.730654E-2     1.756584E+2     1.509084E+2
7.052851E-2     1.755013E+2     1.508464E+2
9.519148E-2     1.754727E+2     1.508530E+2
1.191702E-1     1.754947E+2     1.508760E+2
1.427841E-1     1.754981E+2     1.508760E+2
1.693072E-1     1.754963E+2     1.508738E+2
1.929660E-1     1.754963E+2     1.509005E+2
2.156029E-1     1.755298E+2     1.509295E+2
2.428970E-1     1.755822E+2     1.509519E+2
2.678781E-1     1.756071E+2     1.509673E+2
2.893677E-1     1.756009E+2     1.509673E+2
3.118448E-1     1.756086E+2     1.509624E+2
3.386979E-1     1.756175E+2     1.510040E+2
3.707342E-1     1.756524E+2     1.510061E+2
3.989639E-1     1.756532E+2     1.510294E+2
4.312792E-1     1.756532E+2     1.510578E+2
4.618759E-1     1.756790E+2     1.510578E+2
4.923453E-1     1.757171E+2     1.510358E+2
5.218520E-1     1.757345E+2     1.510724E+2
5.509310E-1     1.757142E+2     1.510632E+2
5.802612E-1     1.757453E+2     1.510924E+2
6.053739E-1     1.757740E+2     1.511022E+2
6.273313E-1     1.757739E+2     1.511022E+2
6.521883E-1     1.757739E+2     1.511078E+2
6.754842E-1     1.757816E+2     1.511070E+2
7.055659E-1     1.757768E+2     1.511126E+2
7.438974E-1     1.757805E+2     1.511130E+2
7.738843E-1     1.757722E+2     1.511084E+2
7.991281E-1     1.757884E+2     1.511084E+2
8.220787E-1     1.758182E+2     1.511272E+2
8.455181E-1     1.758146E+2     1.511477E+2
8.761888E-1     1.758146E+2     1.511284E+2
9.018536E-1     1.758003E+2     1.511446E+2
9.251785E-1     1.758168E+2     1.511491E+2
9.512215E-1     1.758123E+2     1.511491E+2
9.742155E-1     1.758154E+2     1.511499E+2
9.964380E-1     1.758170E+2     1.511497E+2
1.024878E+0     1.758110E+2     1.511492E+2
1.048582E+0     1.758269E+2     1.511556E+2
1.071014E+0     1.758253E+2     1.511497E+2
1.094205E+0     1.758253E+2     1.511497E+2
1.117392E+0     1.758279E+2     1.511576E+2
1.145298E+0     1.758250E+2     1.511544E+2
1.174050E+0     1.758352E+2     1.511667E+2
1.203825E+0     1.758406E+2     1.511620E+2
1.233167E+0     1.758245E+2     1.511547E+2
1.261953E+0     1.758431E+2     1.511693E+2
1.302648E+0     1.758327E+2     1.511680E+2
1.329519E+0     1.758327E+2     1.511484E+2
1.363345E+0     1.758489E+2     1.511678E+2
1.393914E+0     1.758469E+2     1.511678E+2
1.417505E+0     1.758477E+2     1.511678E+2
1.450825E+0     1.758225E+2     1.511683E+2
1.480835E+0     1.758300E+2     1.511621E+2
1.511051E+0     1.758436E+2     1.511621E+2
1.537477E+0     1.758436E+2     1.511711E+2
1.569419E+0     1.758474E+2     1.511587E+2
1.605929E+0     1.758361E+2     1.511711E+2
1.642920E+0     1.758595E+2     1.511711E+2
1.667426E+0     1.758473E+2     1.511636E+2
1.689401E+0     1.758381E+2     1.511663E+2
1.714289E+0     1.758499E+2     1.511694E+2
1.737701E+0     1.758536E+2     1.511832E+2
1.760199E+0     1.758536E+2     1.511832E+2
1.783940E+0     1.758669E+2     1.511781E+2
1.811938E+0     1.758436E+2     1.511787E+2
1.836264E+0     1.758454E+2     1.511750E+2
1.863331E+0     1.758518E+2     1.511751E+2
1.894988E+0     1.758492E+2     1.511751E+2
1.926117E+0     1.758366E+2     1.511706E+2
1.957442E+0     1.758563E+2     1.511706E+2
1.983948E+0     1.758563E+2     1.511828E+2
2.006032E+0     1.758533E+2     1.511510E+2
