Current	Voltage	PhotoCurrent	EmissionPower	Wavelength	EQE	WPE	Temperature	Time	SecondVoltage
A	V	A	mW	nm	%	%	°C	s	V
5.196456E-7	7.969843E-3	5.367600E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.753787E-6	5.582315E-2	5.919600E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.697647E-6	1.076642E-1	5.521400E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.753778E-6	1.555176E-1	5.532000E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.034261E-6	2.073586E-1	5.410000E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
-4.901535E-7	2.552119E-1	5.551100E-10	0.000000E+0	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000E+0
1.024499E-6	3.070531E-1	5.259600E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.529343E-6	3.549064E-1	5.283700E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.202514E-6	4.067475E-1	6.505400E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.314701E-6	4.506130E-1	5.014000E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.539081E-6	5.024540E-1	5.184000E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
5.196083E-7	5.503074E-1	4.712800E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.595203E-6	6.021485E-1	4.964600E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.034175E-6	6.500018E-1	4.945100E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
8.000250E-7	7.018429E-1	4.948200E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.978093E-6	7.516901E-1	4.991600E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
7.439929E-7	8.035312E-1	4.783500E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.922057E-6	8.513845E-1	5.174800E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.417182E-6	9.032256E-1	4.949600E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.034277E-6	9.510789E-1	5.323000E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.034244E-6	9.989322E-1	5.355100E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
6.318025E-7	1.050773E+0	5.251600E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.136712E-6	1.100621E+0	5.416500E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.136690E-6	1.150468E+0	5.680300E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.931840E-6	1.200315E+0	5.830400E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.417172E-6	1.250162E+0	5.816400E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
3.212287E-6	1.300009E+0	6.719600E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.314698E-6	1.351850E+0	1.152110E-9	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
4.165934E-6	1.399704E+0	4.197800E-9	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
8.261036E-6	1.451545E+0	2.820768E-8	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.099516E-5	1.499398E+0	1.857032E-7	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
7.372659E-5	1.551239E+0	1.418867E-6	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.779207E-4	1.601086E+0	9.195621E-6	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.231856E-3	1.652928E+0	5.735694E-5	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
3.856257E-3	1.700781E+0	2.087673E-4	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
8.766006E-3	1.750628E+0	5.134738E-4	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.469488E-2	1.800475E+0	8.887132E-4	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.186295E-2	1.852316E+0	1.341301E-3	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.904285E-2	1.900170E+0	1.789009E-3	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
3.705215E-2	1.952011E+0	2.275099E-3	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
4.478872E-2	1.999864E+0	2.721377E-3	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
