/* F3 - Waermeleitung in Kristallen - HZB - Hanjo Ryll, Bastian Klemke
/* Spannung am Agilent 6.667000E+0 V
/* Pulszeit am Agilent 5.000000E-2 s
/* t [s]   R1 [Ohm]  R2 [Ohm] 
-2.500000E+0     1.296785E+2     1.157346E+2
-2.472473E+0     1.296850E+2     1.157417E+2
-2.444551E+0     1.296966E+2     1.157312E+2
-2.412325E+0     1.296813E+2     1.157312E+2
-2.384695E+0     1.296813E+2     1.157318E+2
-2.353725E+0     1.296857E+2     1.157487E+2
-2.317987E+0     1.296859E+2     1.157286E+2
-2.294720E+0     1.296827E+2     1.157290E+2
-2.266851E+0     1.296895E+2     1.157430E+2
-2.241123E+0     1.297018E+2     1.157487E+2
-2.218212E+0     1.297021E+2     1.157487E+2
-2.194622E+0     1.296954E+2     1.157451E+2
-2.167416E+0     1.296954E+2     1.157342E+2
-2.144674E+0     1.296907E+2     1.157350E+2
-2.121259E+0     1.296978E+2     1.157436E+2
-2.095871E+0     1.296966E+2     1.157428E+2
-2.066154E+0     1.296963E+2     1.157428E+2
-2.042317E+0     1.296979E+2     1.157492E+2
-2.019139E+0     1.296994E+2     1.157452E+2
-1.987818E+0     1.297003E+2     1.157325E+2
-1.954865E+0     1.296884E+2     1.157325E+2
-1.923626E+0     1.296801E+2     1.157340E+2
-1.896863E+0     1.296801E+2     1.157340E+2
-1.872951E+0     1.296998E+2     1.157334E+2
-1.848830E+0     1.296826E+2     1.157263E+2
-1.823127E+0     1.296864E+2     1.157418E+2
-1.800006E+0     1.297010E+2     1.157450E+2
-1.775185E+0     1.296907E+2     1.157385E+2
-1.753053E+0     1.296969E+2     1.157385E+2
-1.730143E+0     1.296969E+2     1.157455E+2
-1.702651E+0     1.296909E+2     1.157419E+2
-1.679469E+0     1.296927E+2     1.157397E+2
-1.657058E+0     1.296944E+2     1.157434E+2
-1.631197E+0     1.296908E+2     1.157289E+2
-1.600953E+0     1.296860E+2     1.157289E+2
-1.572969E+0     1.296979E+2     1.157408E+2
-1.545858E+0     1.296858E+2     1.157298E+2
-1.518124E+0     1.296781E+2     1.157465E+2
-1.494186E+0     1.296781E+2     1.157333E+2
-1.464217E+0     1.297058E+2     1.157351E+2
-1.436749E+0     1.296884E+2     1.157401E+2
-1.395921E+0     1.296963E+2     1.157493E+2
-1.372497E+0     1.297090E+2     1.157451E+2
-1.347871E+0     1.296928E+2     1.157330E+2
-1.322302E+0     1.296747E+2     1.157322E+2
-1.290378E+0     1.296916E+2     1.157322E+2
-1.267084E+0     1.296916E+2     1.157282E+2
-1.237783E+0     1.296720E+2     1.157469E+2
-1.207221E+0     1.296775E+2     1.157277E+2
-1.171542E+0     1.296837E+2     1.157351E+2
-1.146861E+0     1.296938E+2     1.157400E+2
-1.122510E+0     1.296855E+2     1.157400E+2
-1.099827E+0     1.296930E+2     1.157365E+2
-1.076761E+0     1.296865E+2     1.157311E+2
-1.044840E+0     1.296865E+2     1.157475E+2
-1.010767E+0     1.297070E+2     1.157407E+2
-9.791799E-1     1.296926E+2     1.157407E+2
-9.505830E-1     1.296939E+2     1.157407E+2
-9.278550E-1     1.296920E+2     1.157413E+2
-9.045849E-1     1.296935E+2     1.157332E+2
-8.817782E-1     1.296933E+2     1.157275E+2
-8.556738E-1     1.296838E+2     1.157440E+2
-8.313441E-1     1.296838E+2     1.157296E+2
-8.021173E-1     1.297014E+2     1.157296E+2
-7.720532E-1     1.296876E+2     1.157340E+2
-7.437510E-1     1.296835E+2     1.157303E+2
-7.148972E-1     1.296856E+2     1.157307E+2
-6.858287E-1     1.296878E+2     1.157352E+2
-6.535187E-1     1.296830E+2     1.157307E+2
-6.181941E-1     1.296886E+2     1.157307E+2
-5.891719E-1     1.296908E+2     1.157332E+2
-5.591221E-1     1.296897E+2     1.157255E+2
-5.282784E-1     1.296823E+2     1.157291E+2
-5.012813E-1     1.296996E+2     1.157469E+2
-4.716196E-1     1.296969E+2     1.157469E+2
-4.458280E-1     1.296948E+2     1.157404E+2
-4.130507E-1     1.296867E+2     1.157370E+2
-3.900418E-1     1.296867E+2     1.157334E+2
-3.594246E-1     1.296858E+2     1.157446E+2
-3.290896E-1     1.297035E+2     1.157428E+2
-2.981596E-1     1.296997E+2     1.157444E+2
-2.658315E-1     1.296818E+2     1.157434E+2
-2.401562E-1     1.296988E+2     1.157319E+2
-2.148161E-1     1.296801E+2     1.157319E+2
-1.835809E-1     1.296920E+2     1.157322E+2
-1.479645E-1     1.296885E+2     1.157322E+2
-1.158180E-1     1.296938E+2     1.157358E+2
-9.279394E-2     1.296885E+2     1.157313E+2
-6.685734E-2     1.296843E+2     1.157339E+2
-4.106712E-2     1.296928E+2     1.157339E+2
-1.543665E-2     1.296779E+2     1.157273E+2
1.013470E-2     1.296883E+2     1.157283E+2
0.000000E+0     1.296767E+2     1.157283E+2
2.777052E-2     1.296767E+2     1.157212E+2
6.018686E-2     1.296008E+2     1.156967E+2
8.879471E-2     1.295555E+2     1.156617E+2
1.165380E-1     1.295135E+2     1.156048E+2
1.498518E-1     1.294962E+2     1.156048E+2
1.777797E-1     1.295179E+2     1.156048E+2
2.082205E-1     1.295117E+2     1.156208E+2
2.354803E-1     1.295117E+2     1.156009E+2
2.632542E-1     1.295120E+2     1.156004E+2
2.887731E-1     1.295128E+2     1.155997E+2
3.117576E-1     1.295089E+2     1.155968E+2
3.371968E-1     1.295128E+2     1.155980E+2
3.785028E-1     1.295344E+2     1.155980E+2
4.052148E-1     1.295280E+2     1.156080E+2
4.284878E-1     1.295293E+2     1.156073E+2
4.541984E-1     1.295293E+2     1.156036E+2
4.853191E-1     1.295216E+2     1.156121E+2
5.127068E-1     1.295367E+2     1.156121E+2
5.455661E-1     1.295505E+2     1.156187E+2
5.757422E-1     1.295483E+2     1.156187E+2
6.032333E-1     1.295449E+2     1.156241E+2
6.274700E-1     1.295383E+2     1.156161E+2
6.516390E-1     1.295534E+2     1.156298E+2
6.822786E-1     1.295534E+2     1.156271E+2
7.225456E-1     1.295607E+2     1.156355E+2
7.454958E-1     1.295634E+2     1.156402E+2
7.687831E-1     1.295661E+2     1.156370E+2
7.955952E-1     1.295654E+2     1.156331E+2
8.256431E-1     1.295590E+2     1.156331E+2
8.494158E-1     1.295630E+2     1.156321E+2
8.713732E-1     1.295616E+2     1.156327E+2
8.975620E-1     1.295616E+2     1.156349E+2
9.232697E-1     1.295660E+2     1.156321E+2
9.532099E-1     1.295622E+2     1.156326E+2
9.815316E-1     1.295619E+2     1.156326E+2
1.008780E+0     1.295718E+2     1.156410E+2
1.036211E+0     1.295684E+2     1.156377E+2
1.065572E+0     1.295719E+2     1.156475E+2
1.097831E+0     1.295770E+2     1.156475E+2
1.127801E+0     1.295770E+2     1.156442E+2
1.153279E+0     1.295757E+2     1.156518E+2
1.188763E+0     1.295868E+2     1.156508E+2
1.221014E+0     1.295880E+2     1.156526E+2
1.246557E+0     1.295827E+2     1.156526E+2
1.273260E+0     1.295942E+2     1.156524E+2
1.304353E+0     1.295960E+2     1.156594E+2
1.332232E+0     1.296040E+2     1.156594E+2
1.360585E+0     1.295922E+2     1.156564E+2
1.393553E+0     1.295903E+2     1.156570E+2
1.419569E+0     1.295899E+2     1.156560E+2
1.451664E+0     1.295940E+2     1.156633E+2
1.482604E+0     1.296002E+2     1.156633E+2
1.509635E+0     1.296004E+2     1.156625E+2
1.536580E+0     1.295967E+2     1.156566E+2
1.567813E+0     1.295935E+2     1.156701E+2
1.601782E+0     1.296092E+2     1.156716E+2
1.633292E+0     1.296082E+2     1.156716E+2
1.656572E+0     1.296089E+2     1.156716E+2
1.685523E+0     1.296082E+2     1.156708E+2
1.717521E+0     1.295967E+2     1.156676E+2
1.746420E+0     1.296071E+2     1.156720E+2
1.773510E+0     1.295952E+2     1.156576E+2
1.802554E+0     1.295952E+2     1.156676E+2
1.831607E+0     1.296041E+2     1.156676E+2
1.856562E+0     1.296170E+2     1.156695E+2
1.880615E+0     1.296171E+2     1.156727E+2
1.905223E+0     1.296225E+2     1.156900E+2
1.927805E+0     1.296186E+2     1.156684E+2
1.951003E+0     1.296067E+2     1.156711E+2
1.975263E+0     1.296060E+2     1.156711E+2
1.998214E+0     1.296129E+2     1.156711E+2
2.025088E+0     1.296129E+2     1.156759E+2
2.058437E+0     1.296184E+2     1.156829E+2
2.088951E+0     1.296296E+2     1.156829E+2
2.114464E+0     1.296182E+2     1.156706E+2
2.145680E+0     1.296093E+2     1.156706E+2
2.177622E+0     1.296093E+2     1.156791E+2
2.205445E+0     1.296242E+2     1.156794E+2
2.232485E+0     1.296229E+2     1.156917E+2
2.258440E+0     1.296229E+2     1.156988E+2
2.289888E+0     1.296220E+2     1.156937E+2
2.320510E+0     1.296357E+2     1.156937E+2
2.347799E+0     1.296265E+2     1.156930E+2
2.376601E+0     1.296456E+2     1.157037E+2
2.408795E+0     1.296511E+2     1.156977E+2
2.439649E+0     1.296407E+2     1.156920E+2
2.467268E+0     1.296359E+2     1.156825E+2
2.493230E+0     1.296359E+2     1.156825E+2
2.526607E+0     1.296269E+2     1.157019E+2
2.556581E+0     1.296529E+2     1.157019E+2
2.583431E+0     1.296494E+2     1.157012E+2
2.615542E+0     1.296425E+2     1.156871E+2
2.653765E+0     1.296285E+2     1.156871E+2
2.680169E+0     1.296383E+2     1.156934E+2
2.708247E+0     1.296383E+2     1.157038E+2
2.735267E+0     1.296422E+2     1.156948E+2
2.759418E+0     1.296446E+2     1.157032E+2
2.793237E+0     1.296442E+2     1.157072E+2
2.822350E+0     1.296407E+2     1.157072E+2
2.855700E+0     1.296488E+2     1.157040E+2
2.881644E+0     1.296495E+2     1.157048E+2
2.904280E+0     1.296504E+2     1.157041E+2
2.929248E+0     1.296504E+2     1.156977E+2
2.950625E+0     1.296506E+2     1.157036E+2
2.978270E+0     1.296547E+2     1.157036E+2
3.002237E+0     1.296436E+2     1.157053E+2
3.025424E+0     1.296331E+2     1.156845E+2
3.058857E+0     1.296300E+2     1.156937E+2
3.088823E+0     1.296426E+2     1.157018E+2
3.116604E+0     1.296429E+2     1.157007E+2
3.145430E+0     1.296429E+2     1.157007E+2
3.171422E+0     1.296426E+2     1.156997E+2
3.194813E+0     1.296427E+2     1.156985E+2
3.218814E+0     1.296558E+2     1.157063E+2
3.243249E+0     1.296490E+2     1.157037E+2
3.267964E+0     1.296411E+2     1.157009E+2
3.292245E+0     1.296392E+2     1.157009E+2
3.315521E+0     1.296564E+2     1.157040E+2
3.341285E+0     1.296526E+2     1.157183E+2
3.371783E+0     1.296526E+2     1.157107E+2
3.401227E+0     1.296643E+2     1.157074E+2
3.430321E+0     1.296608E+2     1.157275E+2
3.462867E+0     1.296708E+2     1.157275E+2
3.492275E+0     1.296585E+2     1.157153E+2
3.522388E+0     1.296563E+2     1.157091E+2
3.547577E+0     1.296659E+2     1.157194E+2
3.575557E+0     1.296610E+2     1.157160E+2
3.605589E+0     1.296610E+2     1.157160E+2
3.635322E+0     1.296576E+2     1.157080E+2
3.669274E+0     1.296699E+2     1.157199E+2
3.693820E+0     1.296686E+2     1.157147E+2
3.724996E+0     1.296708E+2     1.157243E+2
3.748833E+0     1.296633E+2     1.157264E+2
3.772489E+0     1.296734E+2     1.157264E+2
3.795726E+0     1.296700E+2     1.157250E+2
3.821122E+0     1.296700E+2     1.157136E+2
3.853290E+0     1.296579E+2     1.157055E+2
3.891641E+0     1.296587E+2     1.157148E+2
3.917884E+0     1.296586E+2     1.157148E+2
3.947935E+0     1.296534E+2     1.157139E+2
3.971690E+0     1.296664E+2     1.157191E+2
3.993361E+0     1.296673E+2     1.157132E+2
4.015636E+0     1.296525E+2     1.157066E+2
4.041883E+0     1.296525E+2     1.157156E+2
4.065597E+0     1.296635E+2     1.157156E+2
4.088598E+0     1.296620E+2     1.157155E+2
4.115630E+0     1.296566E+2     1.157116E+2
4.143608E+0     1.296649E+2     1.157205E+2
4.167655E+0     1.296772E+2     1.157250E+2
4.190445E+0     1.296600E+2     1.157128E+2
4.219805E+0     1.296642E+2     1.157140E+2
4.262680E+0     1.296574E+2     1.157214E+2
4.286268E+0     1.296680E+2     1.157227E+2
4.308864E+0     1.296748E+2     1.157217E+2
