/* F3 - Waermeleitung in Kristallen - HZB - Hanjo Ryll, Bastian Klemke
/* Spannung am Agilent 6.667000E+0 V
/* Pulszeit am Agilent 5.000000E-2 s
/* t [s]   R1 [Ohm]  R2 [Ohm] 
-2.500000E+0     1.296972E+2     1.157407E+2
-2.465370E+0     1.296933E+2     1.157387E+2
-2.440386E+0     1.296884E+2     1.157352E+2
-2.413357E+0     1.296840E+2     1.157352E+2
-2.390926E+0     1.296847E+2     1.157310E+2
-2.368100E+0     1.296927E+2     1.157357E+2
-2.336176E+0     1.296939E+2     1.157395E+2
-2.311320E+0     1.296931E+2     1.157394E+2
-2.287792E+0     1.296988E+2     1.157477E+2
-2.255098E+0     1.297029E+2     1.157477E+2
-2.227786E+0     1.297029E+2     1.157427E+2
-2.195876E+0     1.296859E+2     1.157485E+2
-2.165912E+0     1.296908E+2     1.157393E+2
-2.135338E+0     1.296910E+2     1.157481E+2
-2.106848E+0     1.297041E+2     1.157481E+2
-2.079912E+0     1.296978E+2     1.157427E+2
-2.045609E+0     1.296926E+2     1.157381E+2
-2.018071E+0     1.296926E+2     1.157315E+2
-1.992039E+0     1.296818E+2     1.157382E+2
-1.969030E+0     1.296854E+2     1.157342E+2
-1.945330E+0     1.296884E+2     1.157342E+2
-1.918150E+0     1.296967E+2     1.157392E+2
-1.893262E+0     1.296793E+2     1.157301E+2
-1.864020E+0     1.296833E+2     1.157289E+2
-1.832070E+0     1.296766E+2     1.157303E+2
-1.799012E+0     1.296821E+2     1.157335E+2
-1.771556E+0     1.296834E+2     1.157335E+2
-1.749403E+0     1.296852E+2     1.157303E+2
-1.725644E+0     1.296802E+2     1.157314E+2
-1.695277E+0     1.296899E+2     1.157373E+2
-1.663366E+0     1.296893E+2     1.157260E+2
-1.628374E+0     1.296904E+2     1.157260E+2
-1.603374E+0     1.296934E+2     1.157260E+2
-1.573253E+0     1.296934E+2     1.157379E+2
-1.550049E+0     1.296886E+2     1.157369E+2
-1.525797E+0     1.296757E+2     1.157363E+2
-1.502356E+0     1.296907E+2     1.157369E+2
-1.479022E+0     1.296828E+2     1.157334E+2
-1.452403E+0     1.296826E+2     1.157334E+2
-1.429363E+0     1.296789E+2     1.157243E+2
-1.400005E+0     1.296783E+2     1.157267E+2
-1.371369E+0     1.296788E+2     1.157189E+2
-1.343269E+0     1.296788E+2     1.157356E+2
-1.311096E+0     1.296721E+2     1.157271E+2
-1.281706E+0     1.296806E+2     1.157271E+2
-1.251715E+0     1.296798E+2     1.157236E+2
-1.225881E+0     1.296774E+2     1.157232E+2
-1.198865E+0     1.296803E+2     1.157272E+2
-1.168967E+0     1.296739E+2     1.157254E+2
-1.139136E+0     1.296816E+2     1.157232E+2
-1.113309E+0     1.296801E+2     1.157336E+2
-1.071181E+0     1.296792E+2     1.157220E+2
-1.036215E+0     1.296880E+2     1.157390E+2
-1.002817E+0     1.296921E+2     1.157393E+2
-9.728537E-1     1.296857E+2     1.157393E+2
-9.490452E-1     1.296844E+2     1.157307E+2
