/* F3 - Waermeleitung in Kristallen - HZB - Hanjo Ryll, Bastian Klemke
/* Spannung am Agilent 6.667000E+0 V
/* Pulszeit am Agilent 3.500000E-2 s
/* t [s]   R1 [Ohm]  R2 [Ohm] 
-1.900000E+0     1.426191E+2     1.259487E+2
-1.871821E+0     1.426176E+2     1.259378E+2
-1.842613E+0     1.426080E+2     1.259361E+2
-1.815938E+0     1.426124E+2     1.259356E+2
-1.785748E+0     1.426218E+2     1.259404E+2
-1.753824E+0     1.426165E+2     1.259404E+2
-1.725315E+0     1.426201E+2     1.259404E+2
-1.695743E+0     1.426241E+2     1.259430E+2
-1.667189E+0     1.426333E+2     1.259390E+2
-1.637279E+0     1.426318E+2     1.259278E+2
-1.608298E+0     1.426024E+2     1.259278E+2
-1.577556E+0     1.426100E+2     1.259376E+2
-1.550372E+0     1.426345E+2     1.259376E+2
-1.520034E+0     1.426129E+2     1.259445E+2
-1.492062E+0     1.426263E+2     1.259261E+2
-1.463007E+0     1.425979E+2     1.259261E+2
-1.435759E+0     1.425979E+2     1.259362E+2
-1.406979E+0     1.426077E+2     1.259434E+2
-1.383166E+0     1.426178E+2     1.259434E+2
-1.355457E+0     1.426133E+2     1.259380E+2
-1.332992E+0     1.426117E+2     1.259254E+2
-1.298781E+0     1.426057E+2     1.259309E+2
-1.269577E+0     1.426230E+2     1.259493E+2
-1.238974E+0     1.426274E+2     1.259493E+2
-1.215561E+0     1.426274E+2     1.259493E+2
-1.186060E+0     1.426031E+2     1.259374E+2
-1.154161E+0     1.426189E+2     1.259397E+2
-1.126110E+0     1.426199E+2     1.259346E+2
-1.095744E+0     1.426161E+2     1.259396E+2
-1.068407E+0     1.426199E+2     1.259396E+2
-1.038727E+0     1.426099E+2     1.259377E+2
-1.007794E+0     1.426053E+2     1.259318E+2
-9.798078E-1     1.426053E+2     1.259417E+2
-9.543342E-1     1.426199E+2     1.259438E+2
-9.294871E-1     1.426107E+2     1.259263E+2
-9.058966E-1     1.426061E+2     1.259263E+2
-8.836574E-1     1.426158E+2     1.259336E+2
-8.569764E-1     1.425927E+2     1.259174E+2
-8.319744E-1     1.425963E+2     1.259329E+2
-8.008827E-1     1.426105E+2     1.259325E+2
-7.692527E-1     1.426113E+2     1.259372E+2
-7.407750E-1     1.426093E+2     1.259372E+2
