/* F3 - Waermeleitung in Kristallen - HZB - Hanjo Ryll, Bastian Klemke
/* Spannung am Agilent 6.667000E+0 V
/* Pulszeit am Agilent 3.500000E-2 s
/* t [s]   R1 [Ohm]  R2 [Ohm] 
-1.900000E+0     1.426058E+2     1.259275E+2
-1.871557E+0     1.426020E+2     1.259493E+2
-1.832826E+0     1.426352E+2     1.259547E+2
-1.806239E+0     1.426229E+2     1.259547E+2
-1.782870E+0     1.426156E+2     1.259437E+2
-1.758100E+0     1.426098E+2     1.259290E+2
-1.724831E+0     1.426139E+2     1.259401E+2
-1.694847E+0     1.426139E+2     1.259296E+2
-1.662383E+0     1.426247E+2     1.259296E+2
-1.635786E+0     1.426308E+2     1.259451E+2
-1.607456E+0     1.426115E+2     1.259338E+2
-1.573845E+0     1.426098E+2     1.259255E+2
-1.545571E+0     1.426120E+2     1.259401E+2
-1.521861E+0     1.426193E+2     1.259446E+2
-1.498945E+0     1.426223E+2     1.259446E+2
-1.476475E+0     1.426223E+2     1.259493E+2
-1.452345E+0     1.426333E+2     1.259278E+2
-1.423528E+0     1.426063E+2     1.259370E+2
-1.400221E+0     1.426135E+2     1.259370E+2
-1.378514E+0     1.426224E+2     1.259342E+2
-1.350367E+0     1.426188E+2     1.259342E+2
-1.327444E+0     1.426178E+2     1.259418E+2
-1.304161E+0     1.426099E+2     1.259471E+2
-1.277437E+0     1.426244E+2     1.259402E+2
-1.251118E+0     1.426244E+2     1.259402E+2
-1.219415E+0     1.426193E+2     1.259355E+2
-1.189776E+0     1.426047E+2     1.259270E+2
-1.163205E+0     1.426070E+2     1.259272E+2
-1.125425E+0     1.425986E+2     1.259399E+2
-1.102722E+0     1.426187E+2     1.259411E+2
-1.079777E+0     1.426229E+2     1.259385E+2
-1.050735E+0     1.426216E+2     1.259408E+2
-1.027428E+0     1.426216E+2     1.259408E+2
-1.002993E+0     1.426144E+2     1.259313E+2
-9.735569E-1     1.426216E+2     1.259319E+2
-9.444551E-1     1.426116E+2     1.259381E+2
-9.175400E-1     1.426170E+2     1.259334E+2
-8.874244E-1     1.426178E+2     1.259438E+2
-8.607491E-1     1.426266E+2     1.259465E+2
-8.221516E-1     1.426280E+2     1.259352E+2
-7.997607E-1     1.426280E+2     1.259420E+2
-7.744783E-1     1.426100E+2     1.259525E+2
-7.433523E-1     1.426324E+2     1.259311E+2
-7.064108E-1     1.426216E+2     1.259311E+2
-6.767544E-1     1.426080E+2     1.259354E+2
-6.475877E-1     1.426208E+2     1.259385E+2
-6.136989E-1     1.426243E+2     1.259358E+2
-5.874633E-1     1.426154E+2     1.259255E+2
-5.597872E-1     1.426140E+2     1.259255E+2
-5.274185E-1     1.426107E+2     1.259355E+2
-5.035023E-1     1.425970E+2     1.259395E+2
-4.731626E-1     1.426225E+2     1.259446E+2
-4.497870E-1     1.426164E+2     1.259361E+2
-4.184426E-1     1.426169E+2     1.259488E+2
-3.896483E-1     1.426301E+2     1.259488E+2
-3.567418E-1     1.426211E+2     1.259362E+2
-3.325938E-1     1.426113E+2     1.259340E+2
-2.992162E-1     1.426108E+2     1.259304E+2
-2.720813E-1     1.426072E+2     1.259242E+2
-2.402705E-1     1.426129E+2     1.259312E+2
-2.115187E-1     1.426317E+2     1.259312E+2
-1.785559E-1     1.426093E+2     1.259366E+2
-1.507052E-1     1.426123E+2     1.259338E+2
-1.206998E-1     1.426123E+2     1.259256E+2
-8.866634E-2     1.426217E+2     1.259198E+2
-5.743923E-2     1.426000E+2     1.259198E+2
-3.333130E-2     1.425994E+2     1.259207E+2
-2.134228E-3     1.426184E+2     1.259207E+2
2.358065E-2     1.426159E+2     1.259319E+2
0.000000E+0     1.426077E+2     1.259264E+2
2.996063E-2     1.426077E+2     1.259264E+2
5.747604E-2     1.425917E+2     1.258901E+2
9.037781E-2     1.424230E+2     1.257985E+2
1.210513E-1     1.424089E+2     1.257665E+2
1.434565E-1     1.424000E+2     1.257487E+2
1.678019E-1     1.423815E+2     1.257491E+2
1.944261E-1     1.423851E+2     1.257563E+2
2.201710E-1     1.423906E+2     1.257563E+2
2.440271E-1     1.424133E+2     1.257750E+2
2.768006E-1     1.424035E+2     1.257618E+2
3.080392E-1     1.423980E+2     1.257677E+2
3.335500E-1     1.423921E+2     1.257702E+2
3.597484E-1     1.424117E+2     1.257806E+2
3.899817E-1     1.424238E+2     1.257806E+2
4.180183E-1     1.424327E+2     1.257892E+2
4.454455E-1     1.424225E+2     1.257830E+2
4.727278E-1     1.424221E+2     1.257888E+2
5.051756E-1     1.424249E+2     1.257997E+2
5.344315E-1     1.424148E+2     1.257792E+2
5.590835E-1     1.424201E+2     1.257792E+2
5.901213E-1     1.424299E+2     1.257778E+2
6.132946E-1     1.424365E+2     1.257872E+2
6.384397E-1     1.424280E+2     1.258096E+2
6.735702E-1     1.424633E+2     1.258159E+2
7.057829E-1     1.424633E+2     1.258159E+2
7.334504E-1     1.424688E+2     1.258159E+2
7.607198E-1     1.424672E+2     1.258230E+2
7.952933E-1     1.424821E+2     1.258160E+2
8.278284E-1     1.424628E+2     1.258177E+2
8.534555E-1     1.424662E+2     1.258177E+2
8.808126E-1     1.424761E+2     1.258226E+2
9.041171E-1     1.424809E+2     1.258226E+2
9.279094E-1     1.424809E+2     1.258243E+2
9.514809E-1     1.424865E+2     1.258417E+2
9.852023E-1     1.424975E+2     1.258311E+2
1.021602E+0     1.424995E+2     1.258424E+2
1.047784E+0     1.425151E+2     1.258424E+2
1.078128E+0     1.425092E+2     1.258678E+2
1.101990E+0     1.424997E+2     1.258535E+2
1.131083E+0     1.425248E+2     1.258570E+2
1.163443E+0     1.424968E+2     1.258428E+2
1.199508E+0     1.424939E+2     1.258428E+2
1.222822E+0     1.424994E+2     1.258413E+2
1.250509E+0     1.425075E+2     1.258565E+2
1.285786E+0     1.425098E+2     1.258572E+2
1.318088E+0     1.425141E+2     1.258658E+2
1.348683E+0     1.425273E+2     1.258658E+2
1.371669E+0     1.425273E+2     1.258701E+2
1.400653E+0     1.425401E+2     1.258739E+2
1.422642E+0     1.425321E+2     1.258746E+2
1.448843E+0     1.425416E+2     1.258746E+2
1.473621E+0     1.425354E+2     1.258676E+2
1.497849E+0     1.425227E+2     1.258700E+2
1.521545E+0     1.425267E+2     1.258700E+2
1.544510E+0     1.425268E+2     1.258640E+2
1.568069E+0     1.425471E+2     1.258877E+2
1.596817E+0     1.425471E+2     1.258934E+2
1.629329E+0     1.425339E+2     1.258804E+2
1.658634E+0     1.425361E+2     1.258767E+2
1.687796E+0     1.425453E+2     1.258766E+2
1.725790E+0     1.425564E+2     1.258929E+2
1.765908E+0     1.425695E+2     1.259017E+2
1.793443E+0     1.425641E+2     1.259009E+2
1.816661E+0     1.425641E+2     1.258947E+2
1.841710E+0     1.425582E+2     1.258947E+2
1.865591E+0     1.425419E+2     1.258876E+2
1.888813E+0     1.425465E+2     1.258835E+2
1.919817E+0     1.425561E+2     1.258935E+2
1.950184E+0     1.425652E+2     1.258890E+2
1.984941E+0     1.425576E+2     1.258890E+2
2.011137E+0     1.425321E+2     1.258890E+2
2.046020E+0     1.425321E+2     1.258962E+2
2.076539E+0     1.425550E+2     1.259089E+2
2.104734E+0     1.425743E+2     1.259071E+2
2.133274E+0     1.425689E+2     1.259040E+2
2.162009E+0     1.425666E+2     1.259040E+2
2.184989E+0     1.425695E+2     1.259058E+2
2.213244E+0     1.425622E+2     1.258948E+2
2.244534E+0     1.425599E+2     1.258997E+2
2.270155E+0     1.425599E+2     1.258872E+2
