/* F3 - Waermeleitung in Kristallen - HZB - Hanjo Ryll, Bastian Klemke
/* Spannung am Agilent 6.667000E+0 V
/* Pulszeit am Agilent 7.200000E-2 s
/* t [s]   R1 [Ohm]  R2 [Ohm] 
-6.000000E+0     1.067475E+2     9.766134E+1
-5.969419E+0     1.067475E+2     9.766066E+1
-5.946383E+0     1.067381E+2     9.765762E+1
-5.921021E+0     1.067472E+2     9.766039E+1
-5.887895E+0     1.067472E+2     9.766004E+1
-5.849672E+0     1.067461E+2     9.766882E+1
-5.826094E+0     1.067582E+2     9.766493E+1
-5.800695E+0     1.067497E+2     9.767184E+1
-5.768662E+0     1.067593E+2     9.766537E+1
-5.735647E+0     1.067529E+2     9.766537E+1
-5.706671E+0     1.067598E+2     9.767728E+1
-5.674014E+0     1.067556E+2     9.767301E+1
-5.650425E+0     1.067632E+2     9.766728E+1
-5.627628E+0     1.067479E+2     9.766105E+1
-5.600470E+0     1.067477E+2     9.766227E+1
-5.575480E+0     1.067491E+2     9.766227E+1
-5.552665E+0     1.067541E+2     9.766227E+1
-5.523988E+0     1.067474E+2     9.766913E+1
-5.500422E+0     1.067378E+2     9.765496E+1
-5.466202E+0     1.067403E+2     9.765676E+1
-5.438631E+0     1.067466E+2     9.765861E+1
-5.408167E+0     1.067487E+2     9.766271E+1
-5.384914E+0     1.067432E+2     9.766271E+1
-5.351649E+0     1.067419E+2     9.766112E+1
-5.321644E+0     1.067548E+2     9.766632E+1
-5.290790E+0     1.067488E+2     9.766174E+1
-5.263385E+0     1.067408E+2     9.765837E+1
-5.231648E+0     1.067408E+2     9.765830E+1
-5.195542E+0     1.067377E+2     9.765830E+1
-5.166419E+0     1.067480E+2     9.766108E+1
-5.141644E+0     1.067517E+2     9.766433E+1
-5.113986E+0     1.067543E+2     9.766238E+1
-5.080594E+0     1.067469E+2     9.766134E+1
-5.050636E+0     1.067499E+2     9.766134E+1
-5.020700E+0     1.067424E+2     9.766075E+1
-4.989682E+0     1.067521E+2     9.766075E+1
-4.963950E+0     1.067499E+2     9.766546E+1
-4.941651E+0     1.067504E+2     9.766915E+1
-4.915873E+0     1.067510E+2     9.766497E+1
-4.893642E+0     1.067409E+2     9.765881E+1
-4.871640E+0     1.067503E+2     9.765881E+1
-4.844729E+0     1.067423E+2     9.766691E+1
-4.821951E+0     1.067448E+2     9.766354E+1
-4.799194E+0     1.067448E+2     9.767120E+1
-4.776737E+0     1.067506E+2     9.765868E+1
-4.750108E+0     1.067388E+2     9.765991E+1
-4.724267E+0     1.067481E+2     9.765991E+1
-4.700599E+0     1.067392E+2     9.765373E+1
-4.662510E+0     1.067568E+2     9.767541E+1
-4.632667E+0     1.067643E+2     9.767396E+1
-4.607872E+0     1.067547E+2     9.766619E+1
-4.584790E+0     1.067547E+2     9.766168E+1
-4.551636E+0     1.067472E+2     9.766168E+1
-4.529448E+0     1.067534E+2     9.766889E+1
-4.505153E+0     1.067606E+2     9.767077E+1
-4.475627E+0     1.067567E+2     9.766511E+1
-4.442757E+0     1.067585E+2     9.767301E+1
-4.410621E+0     1.067543E+2     9.767301E+1
-4.380357E+0     1.067547E+2     9.766542E+1
-4.354606E+0     1.067547E+2     9.765952E+1
-4.329444E+0     1.067424E+2     9.765765E+1
-4.303011E+0     1.067459E+2     9.765980E+1
-4.276474E+0     1.067446E+2     9.765963E+1
-4.246846E+0     1.067410E+2     9.765963E+1
-4.218442E+0     1.067522E+2     9.766438E+1
-4.190698E+0     1.067467E+2     9.765584E+1
-4.156577E+0     1.067409E+2     9.766223E+1
-4.127620E+0     1.067513E+2     9.766190E+1
-4.097174E+0     1.067485E+2     9.766190E+1
-4.073970E+0     1.067381E+2     9.765430E+1
-4.046910E+0     1.067422E+2     9.765151E+1
-4.021627E+0     1.067385E+2     9.765151E+1
-3.996097E+0     1.067498E+2     9.766793E+1
-3.961690E+0     1.067513E+2     9.766495E+1
-3.929669E+0     1.067462E+2     9.766495E+1
-3.905557E+0     1.067462E+2     9.766553E+1
-3.877745E+0     1.067436E+2     9.766447E+1
-3.847570E+0     1.067456E+2     9.766240E+1
-3.807409E+0     1.067460E+2     9.765778E+1
-3.780690E+0     1.067328E+2     9.765247E+1
-3.757482E+0     1.067391E+2     9.765247E+1
-3.731495E+0     1.067390E+2     9.765622E+1
-3.708114E+0     1.067397E+2     9.766000E+1
-3.676850E+0     1.067397E+2     9.766302E+1
-3.651924E+0     1.067514E+2     9.766046E+1
-3.618052E+0     1.067451E+2     9.766046E+1
-3.589383E+0     1.067381E+2     9.765741E+1
-3.561633E+0     1.067350E+2     9.766161E+1
-3.531618E+0     1.067480E+2     9.765375E+1
-3.508005E+0     1.067387E+2     9.765346E+1
-3.485025E+0     1.067399E+2     9.765877E+1
-3.457853E+0     1.067399E+2     9.765877E+1
-3.434945E+0     1.067526E+2     9.766786E+1
-3.395919E+0     1.067467E+2     9.766874E+1
-3.371505E+0     1.067456E+2     9.766101E+1
-3.348341E+0     1.067564E+2     9.767354E+1
-3.319111E+0     1.067508E+2     9.765914E+1
-3.289704E+0     1.067477E+2     9.765914E+1
-3.265517E+0     1.067531E+2     9.766850E+1
-3.242589E+0     1.067531E+2     9.766053E+1
-3.213211E+0     1.067398E+2     9.766077E+1
-3.190281E+0     1.067437E+2     9.765877E+1
-3.164391E+0     1.067404E+2     9.765936E+1
-3.139391E+0     1.067479E+2     9.765936E+1
-3.115060E+0     1.067587E+2     9.766889E+1
-3.082657E+0     1.067582E+2     9.766207E+1
-3.046651E+0     1.067465E+2     9.765280E+1
-3.013951E+0     1.067499E+2     9.765767E+1
-2.983376E+0     1.067354E+2     9.765767E+1
-2.951610E+0     1.067388E+2     9.766005E+1
-2.921608E+0     1.067401E+2     9.764860E+1
-2.891627E+0     1.067460E+2     9.766592E+1
-2.862755E+0     1.067518E+2     9.766592E+1
-2.831659E+0     1.067519E+2     9.766749E+1
-2.796232E+0     1.067452E+2     9.766749E+1
-2.764546E+0     1.067380E+2     9.766280E+1
-2.737473E+0     1.067460E+2     9.766075E+1
-2.711644E+0     1.067412E+2     9.765446E+1
-2.681605E+0     1.067395E+2     9.766757E+1
-2.650248E+0     1.067505E+2     9.766757E+1
-2.619938E+0     1.067468E+2     9.766619E+1
-2.579601E+0     1.067459E+2     9.766927E+1
-2.551604E+0     1.067459E+2     9.766185E+1
-2.521625E+0     1.067554E+2     9.766090E+1
-2.491702E+0     1.067480E+2     9.765725E+1
-2.462934E+0     1.067477E+2     9.766718E+1
-2.425463E+0     1.067438E+2     9.766040E+1
-2.402873E+0     1.067413E+2     9.766057E+1
-2.379952E+0     1.067436E+2     9.766057E+1
-2.352574E+0     1.067437E+2     9.765745E+1
-2.322677E+0     1.067437E+2     9.765516E+1
-2.287126E+0     1.067454E+2     9.765516E+1
-2.258026E+0     1.067507E+2     9.765236E+1
-2.232578E+0     1.067462E+2     9.766359E+1
-2.205570E+0     1.067539E+2     9.766020E+1
-2.172259E+0     1.067460E+2     9.766577E+1
-2.142937E+0     1.067494E+2     9.766577E+1
-2.114763E+0     1.067481E+2     9.766577E+1
-2.085767E+0     1.067472E+2     9.766322E+1
-2.055812E+0     1.067510E+2     9.766465E+1
-2.031637E+0     1.067577E+2     9.766997E+1
-2.001690E+0     1.067513E+2     9.766513E+1
-1.971595E+0     1.067410E+2     9.765034E+1
