/* F3 - Waermeleitung in Kristallen - HZB - Hanjo Ryll, Bastian Klemke
/* Spannung am Agilent 6.667000E+0 V
/* Pulszeit am Agilent 5.000000E-2 s
/* t [s]   R1 [Ohm]  R2 [Ohm] 
-3.000000E+0     1.203842E+2     1.084507E+2
-2.972047E+0     1.204030E+2     1.084507E+2
-2.940090E+0     1.203910E+2     1.084315E+2
-2.910384E+0     1.203792E+2     1.084332E+2
-2.879466E+0     1.203889E+2     1.084414E+2
-2.853898E+0     1.204020E+2     1.084414E+2
-2.828145E+0     1.204020E+2     1.084441E+2
-2.797692E+0     1.204003E+2     1.084393E+2
-2.763847E+0     1.203941E+2     1.084378E+2
-2.737288E+0     1.203794E+2     1.084286E+2
-2.708774E+0     1.203811E+2     1.084346E+2
-2.684305E+0     1.203965E+2     1.084412E+2
-2.655289E+0     1.203882E+2     1.084301E+2
-2.616527E+0     1.203828E+2     1.084301E+2
-2.590733E+0     1.203802E+2     1.084269E+2
-2.564879E+0     1.203717E+2     1.084230E+2
-2.541341E+0     1.203798E+2     1.084304E+2
-2.508408E+0     1.203939E+2     1.084410E+2
-2.484470E+0     1.203844E+2     1.084410E+2
-2.461360E+0     1.203966E+2     1.084316E+2
-2.428146E+0     1.203868E+2     1.084274E+2
-2.394069E+0     1.203868E+2     1.084303E+2
-2.366603E+0     1.203766E+2     1.084206E+2
-2.337129E+0     1.203733E+2     1.084206E+2
-2.307448E+0     1.203807E+2     1.084272E+2
-2.276360E+0     1.203781E+2     1.084338E+2
-2.246100E+0     1.203862E+2     1.084307E+2
-2.215952E+0     1.203894E+2     1.084326E+2
-2.185785E+0     1.203856E+2     1.084326E+2
-2.156758E+0     1.203856E+2     1.084414E+2
-2.113968E+0     1.203828E+2     1.084265E+2
-2.090520E+0     1.203829E+2     1.084294E+2
-2.067841E+0     1.203805E+2     1.084294E+2
-2.037356E+0     1.203800E+2     1.084302E+2
-2.007361E+0     1.203871E+2     1.084339E+2
-1.979167E+0     1.203803E+2     1.084339E+2
-1.946182E+0     1.203832E+2     1.084238E+2
-1.919368E+0     1.203904E+2     1.084505E+2
-1.885681E+0     1.204069E+2     1.084505E+2
-1.859044E+0     1.203988E+2     1.084313E+2
-1.824989E+0     1.203966E+2     1.084313E+2
-1.794843E+0     1.203914E+2     1.084313E+2
-1.760432E+0     1.203765E+2     1.084408E+2
-1.723927E+0     1.203828E+2     1.084408E+2
-1.697598E+0     1.203963E+2     1.084371E+2
-1.665883E+0     1.203870E+2     1.084319E+2
-1.642729E+0     1.203899E+2     1.084436E+2
-1.618353E+0     1.203866E+2     1.084436E+2
-1.594781E+0     1.203980E+2     1.084357E+2
-1.572532E+0     1.203861E+2     1.084400E+2
-1.549135E+0     1.203957E+2     1.084436E+2
-1.525166E+0     1.203952E+2     1.084436E+2
-1.499116E+0     1.203952E+2     1.084352E+2
-1.466958E+0     1.203843E+2     1.084398E+2
-1.439385E+0     1.203950E+2     1.084444E+2
-1.405005E+0     1.203923E+2     1.084323E+2
-1.377432E+0     1.203790E+2     1.084299E+2
-1.351765E+0     1.203886E+2     1.084433E+2
-1.321628E+0     1.203965E+2     1.084336E+2
-1.294747E+0     1.203883E+2     1.084336E+2
-1.271412E+0     1.203883E+2     1.084355E+2
-1.240350E+0     1.203895E+2     1.084435E+2
-1.210345E+0     1.203971E+2     1.084394E+2
-1.177025E+0     1.203957E+2     1.084377E+2
-1.146112E+0     1.203918E+2     1.084377E+2
-1.121573E+0     1.203925E+2     1.084358E+2
-1.095428E+0     1.203991E+2     1.084338E+2
-1.061554E+0     1.203901E+2     1.084206E+2
-1.029083E+0     1.203725E+2     1.084281E+2
-1.004038E+0     1.203962E+2     1.084415E+2
-9.812555E-1     1.203836E+2     1.084415E+2
-9.518652E-1     1.203924E+2     1.084330E+2
-9.291282E-1     1.203795E+2     1.084296E+2
-9.040961E-1     1.203950E+2     1.084363E+2
-8.813515E-1     1.203971E+2     1.084456E+2
-8.579392E-1     1.203981E+2     1.084473E+2
-8.319664E-1     1.203981E+2     1.084473E+2
-8.093367E-1     1.203967E+2     1.084330E+2
-7.839966E-1     1.204087E+2     1.084429E+2
-7.536426E-1     1.203951E+2     1.084343E+2
-7.253413E-1     1.203890E+2     1.084520E+2
-6.983161E-1     1.204114E+2     1.084443E+2
-6.660757E-1     1.203967E+2     1.084443E+2
-6.351724E-1     1.203915E+2     1.084357E+2
-6.050134E-1     1.203915E+2     1.084431E+2
-5.804362E-1     1.203941E+2     1.084464E+2
-5.490150E-1     1.203993E+2     1.084413E+2
-5.181136E-1     1.203947E+2     1.084413E+2
-4.902654E-1     1.203877E+2     1.084345E+2
-4.625635E-1     1.204019E+2     1.084379E+2
