Wavelength	Intensity	Ocean Optics Flame
nm	counts
187.89	-3.884E+1
188.27	-4.854E+0
188.64	-4.854E+0
189.02	5.097E+1
189.40	7.282E+0
189.78	-6.311E+1
190.15	4.612E+1
190.53	-1.214E+1
190.91	1.942E+1
191.29	1.456E+1
191.66	-2.427E+0
192.04	1.019E+2
192.42	-3.641E+1
192.80	0.000E+0
193.17	-8.981E+1
193.55	-9.709E+0
193.93	4.612E+1
194.30	4.612E+1
194.68	8.253E+1
195.06	-7.039E+1
195.44	4.369E+1
195.81	-2.427E+0
196.19	1.214E+1
196.57	-7.524E+1
196.94	4.612E+1
197.32	-3.155E+1
197.70	-2.670E+1
198.07	4.854E+1
198.45	-1.942E+1
198.83	3.398E+1
199.20	4.369E+1
199.58	1.699E+1
199.96	-1.456E+1
200.33	-3.398E+1
200.71	1.286E+2
201.09	1.699E+1
201.46	-3.155E+1
201.84	-7.282E+0
202.22	5.583E+1
202.59	1.942E+1
202.97	-7.282E+1
203.34	-3.884E+1
203.72	8.981E+1
204.10	-7.282E+0
204.47	1.456E+1
204.85	3.641E+1
205.23	1.456E+1
205.60	9.709E+0
205.98	1.456E+1
206.35	1.699E+1
206.73	2.427E+0
207.11	-2.670E+1
207.48	2.427E+1
207.86	8.010E+1
208.23	-3.884E+1
208.61	2.913E+1
208.98	5.340E+1
209.36	2.670E+1
209.74	8.010E+1
210.11	5.340E+1
210.49	3.398E+1
210.86	-4.126E+1
211.24	-6.068E+1
211.61	4.612E+1
211.99	-3.641E+1
212.36	8.495E+1
212.74	2.427E+1
213.11	1.214E+2
213.49	8.010E+1
213.87	1.456E+1
214.24	3.641E+1
214.62	1.141E+2
214.99	-2.184E+1
215.37	-5.583E+1
215.74	1.699E+1
216.12	-4.369E+1
216.49	-3.641E+1
216.87	-4.369E+1
217.24	4.612E+1
217.62	-5.097E+1
217.99	5.583E+1
218.37	-2.913E+1
218.74	5.583E+1
219.11	5.340E+1
219.49	-4.126E+1
219.86	-2.427E+0
220.24	5.825E+1
220.61	-4.854E+0
220.99	3.155E+1
221.36	1.699E+1
221.74	-4.854E+1
222.11	3.884E+1
222.49	-1.238E+2
222.86	-8.738E+1
223.23	-5.097E+1
223.61	1.456E+1
223.98	-6.796E+1
224.36	1.699E+1
224.73	1.019E+2
225.11	8.010E+1
225.48	-3.155E+1
225.85	-4.854E+0
226.23	6.068E+1
226.60	2.184E+1
226.98	1.456E+1
227.35	-4.612E+1
227.72	-7.282E+0
228.10	5.825E+1
228.47	-1.456E+1
228.84	-3.155E+1
229.22	-8.738E+1
229.59	3.155E+1
229.97	6.311E+1
230.34	4.612E+1
230.71	9.709E+0
231.09	3.884E+1
231.46	2.184E+1
231.83	8.495E+1
232.21	1.165E+2
232.58	0.000E+0
232.95	1.068E+2
233.33	1.384E+2
233.70	4.854E+1
234.07	4.854E+1
234.45	3.884E+1
234.82	9.223E+1
235.19	2.913E+1
235.57	1.942E+1
235.94	1.505E+2
236.31	-1.019E+2
236.69	-7.524E+1
237.06	3.398E+1
237.43	6.796E+1
237.80	-7.282E+0
238.18	6.068E+1
238.55	-6.554E+1
238.92	1.044E+2
239.30	-7.282E+1
239.67	5.340E+1
240.04	-5.583E+1
240.41	4.854E+1
240.79	4.126E+1
241.16	2.184E+1
241.53	7.282E+0
241.90	8.738E+1
242.28	2.913E+1
242.65	2.184E+1
243.02	1.019E+2
243.39	-9.709E+1
243.77	-5.825E+1
244.14	-6.796E+1
244.51	7.282E+1
244.88	-2.670E+1
245.25	-4.854E+1
245.63	1.456E+1
246.00	-8.253E+1
246.37	7.524E+1
246.74	-1.384E+2
