Wavelength	Intensity	Ocean Optics Flame
nm	counts
187.89	-1.456E+1
188.27	-4.612E+1
188.64	-4.369E+1
189.02	1.214E+1
189.40	1.456E+1
189.78	2.427E+0
190.15	-5.825E+1
190.53	-3.641E+1
190.91	-1.214E+1
191.29	-5.583E+1
191.66	-2.670E+1
192.04	5.825E+1
192.42	-8.738E+1
192.80	-7.039E+1
193.17	7.524E+1
193.55	5.340E+1
193.93	2.913E+1
194.30	8.253E+1
194.68	-4.854E+1
195.06	1.092E+2
195.44	2.184E+1
195.81	-4.369E+1
196.19	5.583E+1
196.57	-2.427E+1
196.94	7.282E+0
197.32	-2.427E+0
197.70	2.427E+0
198.07	7.039E+1
198.45	-4.126E+1
198.83	2.184E+1
199.20	-9.709E+0
199.58	-7.039E+1
199.96	-1.165E+2
200.33	-1.699E+1
200.71	-2.427E+0
201.09	8.738E+1
201.46	1.481E+2
201.84	4.854E+0
202.22	7.282E+0
202.59	-6.554E+1
202.97	7.282E+1
203.34	-7.282E+0
203.72	-5.097E+1
204.10	-1.019E+2
204.47	5.825E+1
204.85	9.952E+1
205.23	-4.126E+1
205.60	-1.456E+1
205.98	6.068E+1
206.35	7.282E+1
206.73	-6.311E+1
207.11	-4.854E+1
207.48	-1.214E+1
207.86	3.884E+1
208.23	2.427E+0
208.61	-7.039E+1
208.98	-9.709E+1
209.36	-4.854E+1
209.74	-9.709E+0
210.11	2.427E+0
210.49	1.092E+2
210.86	-6.311E+1
211.24	-4.854E+1
211.61	2.427E+1
211.99	7.767E+1
212.36	1.942E+1
212.74	-1.214E+1
213.11	3.884E+1
213.49	8.495E+1
213.87	1.019E+2
214.24	2.913E+1
214.62	8.010E+1
214.99	1.068E+2
215.37	7.039E+1
215.74	-7.282E+0
216.12	2.427E+1
216.49	2.184E+1
216.87	4.854E+0
217.24	0.000E+0
217.62	-1.214E+1
217.99	2.670E+1
218.37	2.427E+0
218.74	-4.126E+1
219.11	6.311E+1
219.49	-3.155E+1
219.86	-5.097E+1
220.24	-2.427E+1
220.61	2.913E+1
220.99	-6.554E+1
221.36	-2.913E+1
221.74	1.238E+2
222.11	4.126E+1
222.49	5.825E+1
222.86	9.709E+1
223.23	-5.340E+1
223.61	-6.554E+1
223.98	-6.796E+1
224.36	-4.854E+0
224.73	-8.253E+1
225.11	-1.699E+1
225.48	1.019E+2
225.85	-8.738E+1
226.23	6.554E+1
226.60	-2.670E+1
226.98	3.398E+1
227.35	5.583E+1
227.72	-3.884E+1
228.10	-4.854E+0
228.47	-1.942E+1
228.84	2.427E+0
229.22	4.854E+0
229.59	4.369E+1
229.97	2.184E+1
230.34	8.738E+1
230.71	-1.942E+1
231.09	-1.141E+2
