Wavelength	Intensity	Ocean Optics Flame
nm	counts
187.89	2.184E+1
188.27	-2.913E+1
188.64	1.651E+2
189.02	2.184E+1
189.40	-3.884E+1
189.78	-7.282E+1
190.15	-1.942E+1
190.53	1.456E+1
190.91	-6.554E+1
191.29	0.000E+0
191.66	-2.670E+1
192.04	-2.913E+1
192.42	-7.282E+0
192.80	-8.010E+1
193.17	0.000E+0
193.55	-1.238E+2
193.93	-1.214E+2
194.30	3.884E+1
194.68	-4.854E+1
195.06	-1.068E+2
195.44	2.427E+0
195.81	-7.282E+0
196.19	2.913E+1
196.57	4.854E+0
196.94	4.854E+1
197.32	-4.854E+0
197.70	8.738E+1
198.07	4.369E+1
198.45	-5.583E+1
198.83	-6.311E+1
199.20	3.641E+1
199.58	-7.767E+1
199.96	3.155E+1
200.33	5.097E+1
200.71	2.670E+1
201.09	-2.427E+1
201.46	4.854E+1
201.84	-1.456E+1
202.22	-1.214E+1
202.59	-8.738E+1
202.97	2.184E+1
203.34	1.456E+1
203.72	-5.097E+1
204.10	2.427E+0
204.47	-4.854E+1
204.85	4.612E+1
205.23	-9.466E+1
205.60	-2.427E+1
205.98	-5.340E+1
206.35	1.505E+2
206.73	-3.641E+1
207.11	2.427E+1
207.48	1.214E+1
207.86	5.583E+1
208.23	1.214E+1
208.61	5.340E+1
208.98	2.184E+1
209.36	-1.214E+1
209.74	-5.583E+1
210.11	-3.155E+1
210.49	3.155E+1
210.86	-1.942E+1
211.24	-2.670E+1
211.61	9.952E+1
211.99	6.068E+1
212.36	-6.311E+1
212.74	-3.398E+1
213.11	2.427E+1
213.49	-2.913E+1
213.87	1.408E+2
214.24	-7.282E+0
214.62	5.583E+1
214.99	2.427E+0
215.37	-9.709E+0
215.74	-1.092E+2
216.12	-7.282E+1
216.49	-7.282E+0
216.87	-1.214E+1
217.24	4.369E+1
217.62	0.000E+0
217.99	7.524E+1
218.37	-2.427E+1
218.74	4.854E+0
219.11	8.495E+1
219.49	4.854E+0
219.86	7.767E+1
220.24	-1.214E+1
220.61	9.952E+1
220.99	3.155E+1
221.36	2.427E+0
221.74	6.311E+1
222.11	-9.709E+1
222.49	-4.612E+1
222.86	4.612E+1
223.23	-1.189E+2
223.61	-2.427E+0
223.98	9.223E+1
224.36	-8.981E+1
224.73	-3.155E+1
225.11	-1.068E+2
225.48	2.913E+1
225.85	-6.068E+1
226.23	3.884E+1
226.60	-9.709E+0
226.98	-3.398E+1
227.35	-2.427E+1
227.72	-7.767E+1
228.10	-1.505E+2
228.47	6.311E+1
228.84	-4.126E+1
229.22	3.155E+1
229.59	1.456E+1
229.97	-1.699E+1
230.34	-1.214E+1
230.71	1.942E+1
231.09	-3.155E+1
231.46	-7.524E+1
231.83	1.456E+1
232.21	3.641E+1
232.58	9.709E+1
232.95	-2.913E+1
233.33	6.311E+1
233.70	-5.097E+1
234.07	9.709E+0
234.45	-7.767E+1
234.82	1.942E+1
235.19	7.282E+0
235.57	3.398E+1
235.94	2.913E+1
236.31	-8.738E+1
236.69	-8.738E+1
237.06	-3.155E+1
237.43	7.282E+0
237.80	-1.942E+1
238.18	4.854E+1
238.55	5.825E+1
238.92	-3.398E+1
239.30	3.884E+1
239.67	9.223E+1
240.04	-9.223E+1
240.41	2.913E+1
240.79	7.039E+1
241.16	4.369E+1
241.53	-8.010E+1
241.90	7.282E+0
242.28	3.884E+1
242.65	6.311E+1
243.02	8.495E+1
243.39	-1.214E+1
243.77	-6.311E+1
244.14	1.942E+1
244.51	5.097E+1
244.88	-4.854E+0
245.25	7.282E+0
245.63	-2.670E+1
246.00	-9.709E+0
246.37	1.214E+1
246.74	2.427E+0
247.11	-6.311E+1
247.49	5.825E+1
247.86	-4.369E+1
248.23	-2.913E+1
248.60	2.913E+1
248.97	9.466E+1
249.35	3.884E+1
249.72	-3.155E+1
250.09	-2.913E+1
250.46	1.456E+1
250.83	5.583E+1
251.20	-2.913E+1
251.58	4.612E+1
251.95	-5.825E+1
252.32	-1.189E+2
252.69	0.000E+0
253.06	-1.942E+1
253.43	8.495E+1
253.80	-5.340E+1
254.17	7.282E+1
254.55	5.825E+1
254.92	-9.709E+0
255.29	-2.427E+1
255.66	6.068E+1
256.03	-5.583E+1
256.40	-2.427E+1
256.77	-9.709E+0
257.14	-6.068E+1
257.51	-1.942E+1
257.88	-7.282E+0
258.26	4.126E+1
258.63	8.253E+1
259.00	-1.456E+1
259.37	5.825E+1
259.74	-5.583E+1
260.11	4.612E+1
260.48	7.282E+0
260.85	8.981E+1
261.22	2.913E+1
261.59	9.709E+1
261.96	-1.456E+1
262.33	8.253E+1
262.70	-2.670E+1
263.07	7.282E+1
263.44	1.942E+1
263.81	-2.184E+1
264.18	1.214E+1
264.55	-4.854E+1
264.92	-2.184E+1
265.29	-6.311E+1
265.66	-7.282E+1
266.03	6.554E+1
266.40	-4.369E+1
266.77	4.369E+1
267.14	2.184E+1
267.51	-1.189E+2
267.88	-3.155E+1
268.25	7.524E+1
268.62	4.126E+1
268.99	8.253E+1
269.36	2.670E+1
269.73	3.641E+1
270.10	-3.155E+1
270.47	4.854E+0
270.84	-2.670E+1
271.21	-8.738E+1
271.58	-6.311E+1
271.95	9.709E+0
272.32	-7.282E+0
272.69	3.884E+1
273.06	-1.942E+1
273.43	3.641E+1
273.80	4.854E+0
274.17	6.311E+1
274.53	9.709E+1
274.90	9.709E+1
275.27	1.019E+2
275.64	1.189E+2
276.01	7.039E+1
276.38	-8.253E+1
276.75	-6.311E+1
277.12	7.282E+0
277.49	7.282E+1
277.86	1.068E+2
278.22	7.282E+0
278.59	-1.699E+1
278.96	1.165E+2
279.33	2.184E+1
279.70	1.942E+1
