Wavelength	Intensity	Ocean Optics Flame
nm	counts
187.89	-5.583E+1
188.27	-2.913E+1
188.64	-6.554E+1
189.02	7.282E+0
189.40	-4.126E+1
189.78	0.000E+0
190.15	-5.340E+1
190.53	1.432E+2
190.91	2.184E+1
191.29	8.981E+1
191.66	1.456E+1
192.04	-2.184E+1
192.42	-4.854E+0
192.80	3.155E+1
193.17	4.854E+1
193.55	1.214E+1
193.93	-1.214E+1
194.30	-2.184E+1
194.68	-4.854E+1
195.06	4.369E+1
195.44	7.039E+1
195.81	-4.369E+1
196.19	4.126E+1
196.57	-4.854E+0
196.94	2.427E+0
197.32	2.427E+1
197.70	5.583E+1
198.07	-2.184E+1
198.45	-4.126E+1
198.83	4.854E+0
199.20	7.524E+1
199.58	9.952E+1
199.96	2.184E+1
200.33	-2.913E+1
200.71	6.068E+1
201.09	1.044E+2
201.46	-7.282E+0
201.84	2.184E+1
202.22	-1.942E+1
202.59	-1.432E+2
202.97	1.626E+2
203.34	2.670E+1
203.72	4.369E+1
204.10	4.854E+0
204.47	-7.524E+1
204.85	4.612E+1
205.23	1.578E+2
205.60	8.495E+1
205.98	-9.466E+1
206.35	3.398E+1
206.73	6.068E+1
207.11	4.612E+1
207.48	-1.942E+1
207.86	4.854E+0
208.23	-3.641E+1
208.61	-7.282E+0
208.98	5.825E+1
209.36	-1.068E+2
209.74	1.044E+2
210.11	5.340E+1
210.49	5.097E+1
210.86	-9.709E+0
211.24	-1.456E+1
211.61	-4.612E+1
211.99	1.044E+2
212.36	7.039E+1
212.74	6.311E+1
213.11	2.184E+1
213.49	3.641E+1
213.87	3.884E+1
214.24	1.456E+1
214.62	8.495E+1
214.99	2.427E+1
215.37	8.738E+1
215.74	-6.311E+1
216.12	-1.214E+1
216.49	2.913E+1
216.87	-5.583E+1
217.24	-4.369E+1
217.62	-1.214E+1
217.99	-9.709E+0
218.37	-3.398E+1
218.74	-1.286E+2
219.11	8.495E+1
219.49	5.825E+1
219.86	4.854E+1
220.24	-3.155E+1
220.61	1.044E+2
220.99	-4.126E+1
221.36	6.796E+1
221.74	-1.942E+1
222.11	8.253E+1
222.49	6.554E+1
222.86	5.825E+1
223.23	9.223E+1
223.61	3.398E+1
223.98	1.092E+2
224.36	5.097E+1
224.73	7.767E+1
225.11	2.670E+1
225.48	8.010E+1
225.85	1.214E+1
226.23	2.670E+1
226.60	-7.767E+1
226.98	-4.854E+0
227.35	2.184E+1
227.72	-3.398E+1
228.10	7.282E+0
228.47	3.398E+1
228.84	2.184E+1
229.22	8.495E+1
229.59	4.126E+1
229.97	6.068E+1
230.34	5.583E+1
230.71	1.189E+2
231.09	-1.165E+2
231.46	9.709E+0
231.83	1.699E+1
232.21	5.097E+1
232.58	3.155E+1
232.95	-1.456E+1
233.33	2.427E+1
233.70	8.738E+1
234.07	1.214E+1
234.45	-3.398E+1
234.82	4.612E+1
235.19	1.189E+2
235.57	4.854E+1
235.94	-3.398E+1
236.31	2.670E+1
236.69	-4.612E+1
237.06	-5.097E+1
237.43	-8.253E+1
237.80	3.155E+1
238.18	1.942E+1
238.55	-3.398E+1
238.92	4.369E+1
239.30	5.583E+1
239.67	-1.214E+1
240.04	4.369E+1
240.41	-7.039E+1
240.79	3.155E+1
241.16	-1.214E+1
241.53	7.282E+0
241.90	3.155E+1
242.28	2.427E+0
242.65	4.854E+1
243.02	-5.097E+1
243.39	4.369E+1
243.77	4.854E+0
244.14	2.670E+1
244.51	3.398E+1
244.88	7.282E+0
245.25	1.626E+2
245.63	8.495E+1
246.00	5.340E+1
246.37	2.670E+1
246.74	-9.709E+0
247.11	1.214E+1
247.49	5.583E+1
247.86	-2.427E+0
248.23	7.767E+1
248.60	-3.884E+1
248.97	-1.456E+1
249.35	2.184E+1
249.72	1.019E+2
250.09	-2.913E+1
250.46	2.913E+1
250.83	-7.282E+0
251.20	-3.398E+1
251.58	2.427E+0
251.95	-3.398E+1
252.32	1.456E+1
252.69	-9.709E+1
253.06	4.126E+1
253.43	1.408E+2
253.80	2.184E+1
254.17	9.466E+1
254.55	-3.398E+1
254.92	7.282E+0
255.29	3.155E+1
255.66	-1.456E+1
256.03	2.670E+1
256.40	-2.427E+0
256.77	-1.286E+2
257.14	2.184E+1
257.51	9.466E+1
257.88	-4.369E+1
258.26	2.427E+1
258.63	6.554E+1
259.00	-1.699E+1
259.37	-4.854E+0
259.74	6.554E+1
260.11	7.039E+1
260.48	-3.884E+1
260.85	5.583E+1
261.22	3.155E+1
261.59	9.709E+0
261.96	7.282E+0
262.33	9.709E+0
262.70	1.456E+2
263.07	-1.456E+1
263.44	7.767E+1
263.81	6.796E+1
264.18	1.408E+2
264.55	3.398E+1
264.92	-6.068E+1
265.29	4.369E+1
265.66	4.854E+1
266.03	-6.068E+1
266.40	6.554E+1
266.77	-2.913E+1
267.14	-7.524E+1
267.51	1.262E+2
267.88	1.068E+2
268.25	7.767E+1
268.62	-1.456E+1
268.99	8.738E+1
269.36	1.456E+1
269.73	-2.913E+1
270.10	5.825E+1
270.47	1.699E+1
270.84	4.854E+1
271.21	-1.699E+1
271.58	3.884E+1
271.95	-1.942E+1
272.32	1.942E+1
272.69	1.117E+2
273.06	4.612E+1
273.43	1.165E+2
273.80	2.427E+1
274.17	-9.709E+0
274.53	1.214E+1
274.90	-9.709E+0
275.27	3.884E+1
275.64	8.495E+1
276.01	-1.942E+1
