Wavelength	Intensity	Ocean Optics Flame
nm	counts
187.89	-2.184E+1
188.27	-9.709E+0
188.64	-3.155E+1
189.02	-3.641E+1
189.40	-1.262E+2
189.78	-9.709E+0
190.15	-3.398E+1
190.53	-3.155E+1
190.91	5.340E+1
191.29	9.223E+1
191.66	8.253E+1
192.04	1.214E+1
192.42	4.854E+1
192.80	-3.155E+1
193.17	-1.214E+1
193.55	4.126E+1
193.93	1.117E+2
194.30	4.854E+1
194.68	5.825E+1
195.06	6.554E+1
195.44	2.913E+1
195.81	-1.214E+1
196.19	-4.369E+1
196.57	6.311E+1
196.94	-5.097E+1
197.32	-9.709E+0
197.70	-4.854E+1
198.07	3.641E+1
198.45	1.214E+1
198.83	9.952E+1
199.20	6.311E+1
199.58	9.709E+0
199.96	-4.612E+1
200.33	7.039E+1
200.71	-5.340E+1
201.09	7.039E+1
201.46	8.253E+1
201.84	6.554E+1
202.22	2.427E+0
202.59	-2.184E+1
202.97	-2.670E+1
203.34	3.155E+1
203.72	-2.913E+1
204.10	1.044E+2
204.47	3.155E+1
204.85	-1.214E+2
205.23	1.456E+1
205.60	4.854E+0
205.98	-3.398E+1
206.35	8.738E+1
206.73	-1.214E+1
207.11	-6.554E+1
207.48	-1.214E+1
207.86	7.524E+1
208.23	-5.340E+1
208.61	2.427E+0
208.98	-1.311E+2
209.36	-4.854E+1
209.74	1.238E+2
210.11	-3.155E+1
210.49	1.942E+1
210.86	-3.641E+1
211.24	9.709E+0
211.61	-1.456E+1
211.99	-3.155E+1
212.36	-9.709E+0
212.74	4.854E+1
213.11	-7.282E+1
213.49	-4.126E+1
213.87	2.427E+0
214.24	4.854E+1
214.62	3.398E+1
214.99	-7.039E+1
215.37	7.282E+0
215.74	-2.184E+1
216.12	1.942E+1
216.49	-5.583E+1
216.87	1.165E+2
217.24	-4.612E+1
217.62	-7.282E+1
217.99	1.942E+1
218.37	5.097E+1
218.74	-7.767E+1
219.11	-5.825E+1
219.49	1.384E+2
219.86	-2.427E+1
220.24	-4.854E+0
220.61	-2.913E+1
220.99	-3.398E+1
221.36	1.481E+2
221.74	-1.699E+1
222.11	8.981E+1
222.49	-5.340E+1
222.86	-3.155E+1
223.23	1.019E+2
223.61	7.282E+0
223.98	8.495E+1
224.36	8.495E+1
224.73	4.854E+1
225.11	7.039E+1
225.48	6.068E+1
225.85	8.010E+1
226.23	4.854E+1
226.60	5.825E+1
226.98	7.282E+1
227.35	-1.942E+1
227.72	3.398E+1
228.10	5.340E+1
228.47	8.253E+1
228.84	-1.044E+2
229.22	-9.709E+0
229.59	-8.010E+1
229.97	4.126E+1
230.34	5.097E+1
230.71	7.524E+1
231.09	-3.398E+1
231.46	1.699E+1
231.83	1.214E+1
232.21	5.340E+1
232.58	1.214E+1
232.95	-2.670E+1
233.33	7.282E+1
233.70	-2.913E+1
