Wavelength	Intensity	Ocean Optics Flame
nm	counts
187.89	0.000E+0
188.27	6.311E+1
188.64	6.554E+1
189.02	-3.884E+1
189.40	-2.427E+1
189.78	3.884E+1
190.15	7.039E+1
190.53	-5.825E+1
190.91	-4.369E+1
191.29	-3.641E+1
191.66	-3.398E+1
192.04	-2.913E+1
192.42	3.398E+1
192.80	-1.699E+1
193.17	2.913E+1
193.55	2.427E+0
193.93	3.884E+1
194.30	-1.214E+1
194.68	-6.796E+1
195.06	4.854E+1
195.44	5.097E+1
195.81	9.709E+0
196.19	-3.398E+1
196.57	1.456E+1
196.94	2.913E+1
197.32	-1.942E+1
197.70	6.796E+1
198.07	3.641E+1
198.45	5.097E+1
198.83	-5.340E+1
199.20	4.854E+0
199.58	-8.738E+1
199.96	-4.369E+1
200.33	4.854E+0
200.71	2.427E+0
201.09	5.097E+1
201.46	-3.884E+1
201.84	-7.282E+0
202.22	7.524E+1
202.59	-2.184E+1
202.97	-4.126E+1
203.34	-3.884E+1
203.72	3.884E+1
204.10	-7.767E+1
204.47	3.398E+1
204.85	1.214E+1
205.23	3.884E+1
205.60	-4.369E+1
205.98	6.311E+1
206.35	3.155E+1
206.73	2.427E+0
207.11	9.223E+1
207.48	8.010E+1
207.86	1.214E+1
208.23	-3.884E+1
208.61	4.854E+1
208.98	-4.612E+1
209.36	-7.039E+1
209.74	1.117E+2
210.11	7.282E+1
210.49	7.282E+1
210.86	1.214E+1
211.24	4.854E+0
211.61	2.184E+1
211.99	4.126E+1
212.36	4.612E+1
212.74	3.398E+1
213.11	7.282E+0
213.49	1.942E+1
213.87	2.913E+1
214.24	1.214E+1
214.62	2.184E+1
214.99	-6.554E+1
215.37	6.796E+1
215.74	3.398E+1
216.12	9.709E+0
216.49	-1.456E+1
216.87	1.699E+1
217.24	4.854E+0
217.62	4.612E+1
217.99	4.369E+1
218.37	5.097E+1
218.74	-7.282E+0
219.11	-3.155E+1
219.49	-7.767E+1
219.86	1.699E+1
220.24	-8.738E+1
220.61	2.427E+0
220.99	6.554E+1
221.36	5.340E+1
221.74	7.524E+1
222.11	-6.311E+1
222.49	-7.282E+1
222.86	1.092E+2
223.23	-5.583E+1
223.61	1.699E+1
223.98	3.155E+1
224.36	2.184E+1
224.73	1.117E+2
225.11	-8.010E+1
225.48	4.369E+1
225.85	3.155E+1
226.23	7.282E+0
226.60	-2.670E+1
226.98	2.427E+1
227.35	6.554E+1
227.72	-1.214E+1
228.10	1.068E+2
228.47	7.524E+1
228.84	1.044E+2
229.22	3.884E+1
229.59	2.427E+1
229.97	-1.456E+1
230.34	-7.282E+0
230.71	9.709E+1
231.09	1.456E+1
231.46	5.583E+1
231.83	-8.495E+1
232.21	3.398E+1
232.58	-2.913E+1
232.95	1.699E+1
233.33	4.369E+1
233.70	2.184E+1
234.07	-5.583E+1
234.45	-4.854E+1
234.82	1.214E+1
235.19	2.670E+1
235.57	-7.767E+1
235.94	-7.282E+1
236.31	-4.854E+0
236.69	7.282E+1
237.06	0.000E+0
237.43	5.825E+1
237.80	1.214E+1
238.18	5.097E+1
238.55	1.286E+2
238.92	7.282E+1
239.30	-1.942E+1
239.67	-5.825E+1
240.04	7.039E+1
240.41	1.262E+2
240.79	4.612E+1
241.16	8.738E+1
241.53	-2.913E+1
241.90	9.952E+1
242.28	3.398E+1
242.65	3.398E+1
243.02	5.825E+1
243.39	-1.068E+2
243.77	3.884E+1
244.14	-5.097E+1
244.51	-1.214E+1
