/* F3 - Waermeleitung in Kristallen - HZB - Hanjo Ryll, Bastian Klemke
/* Spannung am Agilent 6.667000E+0 V
/* Pulszeit am Agilent 8.000000E-1 s
/* t [s]   R1 [Ohm]  R2 [Ohm] 
-1.000000E+1     5.311992E+1     5.191891E+1
-9.969779E+0     5.311811E+1     5.191753E+1
-9.941902E+0     5.311776E+1     5.191948E+1
-9.915142E+0     5.311815E+1     5.191827E+1
-9.886858E+0     5.311731E+1     5.192089E+1
-9.853881E+0     5.311947E+1     5.192089E+1
-9.826774E+0     5.312480E+1     5.192296E+1
-9.802756E+0     5.312480E+1     5.192139E+1
-9.773519E+0     5.312229E+1     5.191809E+1
-9.739806E+0     5.312228E+1     5.192148E+1
-9.712732E+0     5.312292E+1     5.192300E+1
-9.684100E+0     5.311979E+1     5.192300E+1
-9.656878E+0     5.312233E+1     5.192022E+1
-9.632821E+0     5.312144E+1     5.192131E+1
-9.600856E+0     5.312198E+1     5.192217E+1
-9.572091E+0     5.312112E+1     5.192080E+1
-9.540017E+0     5.311964E+1     5.192080E+1
-9.511771E+0     5.311993E+1     5.192080E+1
-9.484133E+0     5.311965E+1     5.192065E+1
-9.451787E+0     5.312111E+1     5.192160E+1
-9.422924E+0     5.312113E+1     5.192105E+1
-9.395183E+0     5.312252E+1     5.192260E+1
-9.366960E+0     5.312252E+1     5.192021E+1
-9.335662E+0     5.312109E+1     5.192021E+1
-9.310132E+0     5.312005E+1     5.192257E+1
-9.286114E+0     5.311633E+1     5.192150E+1
-9.261785E+0     5.311986E+1     5.192210E+1
-9.238584E+0     5.312091E+1     5.192118E+1
-9.216244E+0     5.311893E+1     5.192469E+1
-9.192060E+0     5.312178E+1     5.192469E+1
-9.168590E+0     5.311888E+1     5.192469E+1
-9.142657E+0     5.311888E+1     5.192017E+1
-9.118436E+0     5.311791E+1     5.192073E+1
-9.088759E+0     5.311815E+1     5.192228E+1
-9.060783E+0     5.311927E+1     5.192255E+1
-9.028238E+0     5.311968E+1     5.192255E+1
-9.005022E+0     5.311893E+1     5.192016E+1
-8.974173E+0     5.312023E+1     5.192016E+1
-8.947899E+0     5.312179E+1     5.192104E+1
-8.921129E+0     5.312179E+1     5.192154E+1
-8.888774E+0     5.311840E+1     5.192074E+1
-8.857110E+0     5.312070E+1     5.192074E+1
-8.828973E+0     5.311971E+1     5.192074E+1
-8.800099E+0     5.311889E+1     5.192196E+1
-8.768190E+0     5.312111E+1     5.191936E+1
-8.735141E+0     5.311806E+1     5.191911E+1
-8.708793E+0     5.311806E+1     5.191911E+1
-8.683542E+0     5.311880E+1     5.192313E+1
-8.658604E+0     5.312047E+1     5.192313E+1
-8.635294E+0     5.312007E+1     5.192281E+1
-8.612697E+0     5.312428E+1     5.192205E+1
-8.579607E+0     5.312113E+1     5.192086E+1
-8.547049E+0     5.311887E+1     5.192433E+1
-8.516299E+0     5.312325E+1     5.192433E+1
-8.486141E+0     5.312325E+1     5.192341E+1
-8.453448E+0     5.312114E+1     5.191834E+1
-8.430781E+0     5.311757E+1     5.192012E+1
-8.398391E+0     5.311804E+1     5.191997E+1
-8.368674E+0     5.311938E+1     5.191854E+1
-8.340542E+0     5.312125E+1     5.191854E+1
-8.306294E+0     5.312297E+1     5.192202E+1
-8.280573E+0     5.311964E+1     5.192097E+1
-8.250541E+0     5.311964E+1     5.192238E+1
-8.217988E+0     5.311836E+1     5.192125E+1
-8.191784E+0     5.311653E+1     5.192125E+1
-8.163228E+0     5.311968E+1     5.191800E+1
-8.129817E+0     5.311941E+1     5.191945E+1
-8.099691E+0     5.311933E+1     5.192037E+1
-8.070830E+0     5.311816E+1     5.192037E+1
-8.041337E+0     5.312020E+1     5.192322E+1
-8.012806E+0     5.312134E+1     5.192322E+1
-7.980165E+0     5.311687E+1     5.191985E+1
-7.953163E+0     5.312031E+1     5.192024E+1
-7.922734E+0     5.311987E+1     5.192024E+1
-7.892834E+0     5.311493E+1     5.192179E+1
-7.862736E+0     5.312090E+1     5.192311E+1
-7.835651E+0     5.312023E+1     5.192311E+1
-7.803830E+0     5.312023E+1     5.192129E+1
-7.775078E+0     5.311805E+1     5.192257E+1
-7.751071E+0     5.311882E+1     5.191855E+1
-7.719119E+0     5.311844E+1     5.192196E+1
-7.689766E+0     5.312138E+1     5.192097E+1
-7.660768E+0     5.312239E+1     5.192097E+1
