/* F3 - Waermeleitung in Kristallen - HZB - Hanjo Ryll, Bastian Klemke
/* Spannung am Agilent 6.667000E+0 V
/* Pulszeit am Agilent 1.000000E-2 s
/* t [s]   R1 [Ohm]  R2 [Ohm] 
-1.000000E+0     1.881822E+2     1.603953E+2
-9.673257E-1     1.882093E+2     1.604097E+2
-9.333973E-1     1.882023E+2     1.604097E+2
-9.072351E-1     1.882169E+2     1.604160E+2
-8.801103E-1     1.882005E+2     1.604044E+2
-8.499455E-1     1.882005E+2     1.604008E+2
-8.143926E-1     1.881978E+2     1.604008E+2
-7.853937E-1     1.881930E+2     1.604147E+2
-7.593341E-1     1.881848E+2     1.603945E+2
-7.325368E-1     1.881982E+2     1.604022E+2
-6.987214E-1     1.882039E+2     1.603965E+2
-6.687193E-1     1.881842E+2     1.603965E+2
-6.387239E-1     1.881842E+2     1.604016E+2
-6.073413E-1     1.881889E+2     1.604080E+2
-5.841537E-1     1.881996E+2     1.604117E+2
-5.612154E-1     1.882090E+2     1.604035E+2
-5.327473E-1     1.882028E+2     1.604035E+2
-5.027699E-1     1.881688E+2     1.603913E+2
-4.743838E-1     1.881741E+2     1.603800E+2
-4.391565E-1     1.881739E+2     1.603855E+2
-4.131908E-1     1.881739E+2     1.603868E+2
-3.877068E-1     1.881791E+2     1.603868E+2
-3.630166E-1     1.881775E+2     1.603704E+2
-3.277540E-1     1.881683E+2     1.603704E+2
-2.962451E-1     1.881797E+2     1.603897E+2
-2.621565E-1     1.881922E+2     1.604059E+2
-2.392831E-1     1.882056E+2     1.603973E+2
-2.164388E-1     1.881904E+2     1.603989E+2
-1.877923E-1     1.881904E+2     1.604036E+2
-1.539812E-1     1.881893E+2     1.604036E+2
-1.240492E-1     1.881782E+2     1.603903E+2
-9.339857E-2     1.882123E+2     1.604173E+2
-7.055807E-2     1.882166E+2     1.604207E+2
-3.743124E-2     1.882168E+2     1.604115E+2
-1.030397E-2     1.882079E+2     1.604171E+2
1.754761E-2     1.882117E+2     1.604171E+2
0.000000E+0     1.882117E+2     1.602314E+2
3.241253E-2     1.879092E+2     1.600108E+2
5.958271E-2     1.877104E+2     1.599596E+2
8.489418E-2     1.876652E+2     1.599596E+2
1.159148E-1     1.876615E+2     1.599513E+2
1.439462E-1     1.876767E+2     1.599513E+2
1.772356E-1     1.877547E+2     1.599667E+2
2.063107E-1     1.877547E+2     1.600429E+2
2.316098E-1     1.877702E+2     1.601200E+2
2.629414E-1     1.878480E+2     1.601200E+2
2.885747E-1     1.878924E+2     1.601595E+2
3.124857E-1     1.879399E+2     1.601595E+2
3.353190E-1     1.879535E+2     1.602001E+2
3.583617E-1     1.879780E+2     1.602397E+2
3.907847E-1     1.879895E+2     1.602301E+2
4.221959E-1     1.879694E+2     1.602542E+2
4.537263E-1     1.879846E+2     1.602542E+2
4.823880E-1     1.880311E+2     1.602542E+2
5.095267E-1     1.880645E+2     1.602803E+2
5.328779E-1     1.880760E+2     1.603207E+2
5.673409E-1     1.880838E+2     1.603168E+2
5.959115E-1     1.880952E+2     1.603304E+2
6.240058E-1     1.880885E+2     1.603304E+2
6.530213E-1     1.880885E+2     1.603304E+2
6.811066E-1     1.881136E+2     1.603465E+2
7.042475E-1     1.881187E+2     1.603529E+2
7.283010E-1     1.880974E+2     1.603401E+2
7.531018E-1     1.881082E+2     1.603438E+2
7.751703E-1     1.881157E+2     1.603519E+2
8.015261E-1     1.881181E+2     1.603519E+2
8.251314E-1     1.881097E+2     1.603488E+2
8.485785E-1     1.881354E+2     1.603618E+2
8.786540E-1     1.881354E+2     1.603741E+2
9.134116E-1     1.881278E+2     1.603628E+2
9.449935E-1     1.881250E+2     1.603628E+2
9.684291E-1     1.881156E+2     1.603628E+2
9.985795E-1     1.881488E+2     1.603852E+2
1.032069E+0     1.881526E+2     1.603808E+2
1.058509E+0     1.881575E+2     1.603789E+2
1.086444E+0     1.881433E+2     1.603903E+2
1.118622E+0     1.881627E+2     1.603903E+2
1.143138E+0     1.881799E+2     1.603947E+2
1.169665E+0     1.881653E+2     1.603810E+2
1.199808E+0     1.881571E+2     1.603775E+2
1.227289E+0     1.881743E+2     1.603988E+2
1.256379E+0     1.881712E+2     1.603969E+2
1.288345E+0     1.881731E+2     1.603969E+2
1.316342E+0     1.881731E+2     1.603914E+2
1.339469E+0     1.881419E+2     1.603715E+2
1.364201E+0     1.881507E+2     1.603808E+2
1.395350E+0     1.881744E+2     1.603950E+2
1.425381E+0     1.881661E+2     1.603778E+2
1.454008E+0     1.881819E+2     1.603778E+2
1.487652E+0     1.881797E+2     1.604032E+2
1.513991E+0     1.881880E+2     1.604055E+2
1.544008E+0     1.881826E+2     1.603877E+2
1.579015E+0     1.881712E+2     1.603930E+2
1.605032E+0     1.881885E+2     1.603930E+2
1.633146E+0     1.881779E+2     1.603930E+2
1.661105E+0     1.881891E+2     1.604022E+2
1.692260E+0     1.881941E+2     1.604085E+2
1.721492E+0     1.881803E+2     1.603940E+2
1.750168E+0     1.881803E+2     1.604036E+2
1.779024E+0     1.881860E+2     1.603879E+2
1.803410E+0     1.881877E+2     1.603879E+2
1.827055E+0     1.881602E+2     1.604018E+2
1.852275E+0     1.881557E+2     1.603847E+2
1.884645E+0     1.881560E+2     1.603889E+2
1.920907E+0     1.881790E+2     1.603926E+2
1.950328E+0     1.881761E+2     1.603926E+2
1.977352E+0     1.881761E+2     1.604011E+2
2.006346E+0     1.881873E+2     1.603794E+2
