/* F3 - Waermeleitung in Kristallen - HZB - Hanjo Ryll, Bastian Klemke
/* Spannung am Agilent 6.667000E+0 V
/* Pulszeit am Agilent 2.000000E-2 s
/* t [s]   R1 [Ohm]  R2 [Ohm] 
-1.500000E+0     1.572623E+2     1.371640E+2
-1.473230E+0     1.572420E+2     1.371599E+2
-1.443491E+0     1.572373E+2     1.371476E+2
-1.410655E+0     1.572295E+2     1.371476E+2
-1.386766E+0     1.572294E+2     1.371476E+2
-1.350989E+0     1.572281E+2     1.371433E+2
-1.324945E+0     1.572310E+2     1.371554E+2
-1.297903E+0     1.572279E+2     1.371614E+2
-1.266771E+0     1.572435E+2     1.371612E+2
-1.234191E+0     1.572501E+2     1.371612E+2
-1.208055E+0     1.572512E+2     1.371666E+2
-1.176810E+0     1.572512E+2     1.371598E+2
-1.138725E+0     1.572348E+2     1.371534E+2
-1.111308E+0     1.572171E+2     1.371423E+2
-1.088759E+0     1.572188E+2     1.371482E+2
-1.063024E+0     1.572424E+2     1.371482E+2
-1.038715E+0     1.572423E+2     1.371597E+2
-1.014575E+0     1.572350E+2     1.371612E+2
-9.832592E-1     1.572377E+2     1.371598E+2
-9.589748E-1     1.572377E+2     1.371533E+2
-9.254746E-1     1.572393E+2     1.371634E+2
-8.977070E-1     1.572420E+2     1.371621E+2
-8.586435E-1     1.572315E+2     1.371525E+2
-8.348675E-1     1.572414E+2     1.371658E+2
-8.119888E-1     1.572468E+2     1.371658E+2
-7.846866E-1     1.572485E+2     1.371686E+2
-7.595892E-1     1.572399E+2     1.371634E+2
-7.292986E-1     1.572399E+2     1.371634E+2
-6.977034E-1     1.572432E+2     1.371624E+2
-6.666694E-1     1.572468E+2     1.371604E+2
-6.411033E-1     1.572374E+2     1.371672E+2
-6.124940E-1     1.572526E+2     1.371775E+2
-5.815058E-1     1.572630E+2     1.371775E+2
-5.537229E-1     1.572393E+2     1.371577E+2
-5.256705E-1     1.572486E+2     1.371571E+2
-5.000920E-1     1.572486E+2     1.371540E+2
-4.677286E-1     1.572385E+2     1.371552E+2
-4.342856E-1     1.572331E+2     1.371552E+2
-4.112058E-1     1.572320E+2     1.371520E+2
-3.812141E-1     1.572458E+2     1.371619E+2
-3.489895E-1     1.572393E+2     1.371622E+2
-3.224888E-1     1.572430E+2     1.371713E+2
-2.901349E-1     1.572587E+2     1.371570E+2
-2.600131E-1     1.572391E+2     1.371624E+2
-2.218022E-1     1.572301E+2     1.371537E+2
-1.817074E-1     1.572400E+2     1.371565E+2
-1.553054E-1     1.572222E+2     1.371393E+2
-1.315780E-1     1.572217E+2     1.371449E+2
-1.064067E-1     1.572376E+2     1.371449E+2
-8.296680E-2     1.572506E+2     1.371581E+2
-5.921125E-2     1.572506E+2     1.371750E+2
-2.899694E-2     1.572640E+2     1.371795E+2
-3.920078E-3     1.572698E+2     1.371791E+2
2.233505E-2     1.572455E+2     1.371559E+2
0.000000E+0     1.572314E+2     1.371463E+2
3.184938E-2     1.571717E+2     1.370365E+2
6.356955E-2     1.570582E+2     1.369724E+2
8.797026E-2     1.569905E+2     1.369410E+2
1.119485E-1     1.569905E+2     1.369355E+2
1.368217E-1     1.569761E+2     1.369355E+2
1.607633E-1     1.569845E+2     1.369554E+2
1.841421E-1     1.569930E+2     1.369562E+2
2.144022E-1     1.569829E+2     1.369536E+2
2.376213E-1     1.569868E+2     1.369602E+2
2.636113E-1     1.569961E+2     1.369602E+2
2.887731E-1     1.569969E+2     1.369593E+2
3.116202E-1     1.570018E+2     1.369593E+2
3.354244E-1     1.570018E+2     1.369695E+2
3.584442E-1     1.570198E+2     1.369863E+2
3.887138E-1     1.570241E+2     1.369810E+2
4.224639E-1     1.570488E+2     1.370059E+2
4.562478E-1     1.570518E+2     1.370059E+2
4.844918E-1     1.570404E+2     1.370059E+2
5.099940E-1     1.570528E+2     1.369999E+2
5.342369E-1     1.570537E+2     1.370226E+2
5.577707E-1     1.570537E+2     1.370339E+2
5.816379E-1     1.570967E+2     1.370159E+2
6.067939E-1     1.570707E+2     1.370322E+2
6.309619E-1     1.570846E+2     1.370322E+2
6.541624E-1     1.570796E+2     1.370263E+2
6.777825E-1     1.571075E+2     1.370550E+2
7.077856E-1     1.571140E+2     1.370503E+2
7.362394E-1     1.571030E+2     1.370535E+2
7.645211E-1     1.571133E+2     1.370700E+2
7.954445E-1     1.571133E+2     1.370726E+2
8.345032E-1     1.571158E+2     1.370641E+2
8.588176E-1     1.571247E+2     1.370625E+2
8.839817E-1     1.571242E+2     1.370745E+2
9.090590E-1     1.571253E+2     1.370745E+2
9.339132E-1     1.571351E+2     1.370700E+2
9.599905E-1     1.571388E+2     1.370700E+2
9.903388E-1     1.571311E+2     1.370795E+2
1.013655E+0     1.571311E+2     1.370848E+2
1.046570E+0     1.571665E+2     1.370967E+2
1.076803E+0     1.571584E+2     1.370967E+2
1.106845E+0     1.571608E+2     1.370984E+2
1.136125E+0     1.571669E+2     1.370984E+2
1.168806E+0     1.571736E+2     1.371032E+2
1.197191E+0     1.571682E+2     1.370981E+2
1.226323E+0     1.571682E+2     1.371002E+2
1.254393E+0     1.571690E+2     1.371220E+2
1.285958E+0     1.571798E+2     1.371105E+2
1.313489E+0     1.571659E+2     1.370992E+2
1.344470E+0     1.571742E+2     1.370992E+2
1.373478E+0     1.571742E+2     1.371182E+2
1.403610E+0     1.571889E+2     1.371236E+2
1.433993E+0     1.571946E+2     1.371255E+2
1.459992E+0     1.571946E+2     1.371255E+2
1.483800E+0     1.571945E+2     1.371255E+2
1.509083E+0     1.572146E+2     1.371292E+2
1.533178E+0     1.572053E+2     1.371354E+2
1.556861E+0     1.571881E+2     1.371128E+2
1.581155E+0     1.571817E+2     1.371215E+2
1.603091E+0     1.571942E+2     1.371348E+2
1.629106E+0     1.572081E+2     1.371348E+2
1.652860E+0     1.572179E+2     1.371401E+2
1.676917E+0     1.572179E+2     1.371271E+2
1.706768E+0     1.572222E+2     1.371273E+2
1.746816E+0     1.572136E+2     1.371422E+2
1.774334E+0     1.572055E+2     1.371345E+2
1.796785E+0     1.572126E+2     1.371345E+2
1.823974E+0     1.572209E+2     1.371416E+2
1.846483E+0     1.572284E+2     1.371600E+2
1.870506E+0     1.572333E+2     1.371511E+2
1.899006E+0     1.572333E+2     1.371428E+2
1.923531E+0     1.572264E+2     1.371450E+2
1.952872E+0     1.572068E+2     1.371385E+2
1.992933E+0     1.572235E+2     1.371417E+2
2.017828E+0     1.572034E+2     1.371364E+2
2.040040E+0     1.572245E+2     1.371506E+2
2.067519E+0     1.572229E+2     1.371419E+2
2.092843E+0     1.572147E+2     1.371419E+2
2.116809E+0     1.572147E+2     1.371419E+2
2.143427E+0     1.572355E+2     1.371573E+2
2.166264E+0     1.572295E+2     1.371548E+2
2.191096E+0     1.572160E+2     1.371499E+2
2.214546E+0     1.572325E+2     1.371433E+2
2.238857E+0     1.572175E+2     1.371345E+2
2.262814E+0     1.572160E+2     1.371345E+2
2.285921E+0     1.572305E+2     1.371524E+2
2.314074E+0     1.572130E+2     1.371477E+2
2.341219E+0     1.572130E+2     1.371512E+2
2.376465E+0     1.572360E+2     1.371477E+2
2.407861E+0     1.572183E+2     1.371477E+2
2.433490E+0     1.572045E+2     1.371477E+2
2.456804E+0     1.572368E+2     1.371370E+2
2.481966E+0     1.572486E+2     1.371622E+2
2.514519E+0     1.572205E+2     1.371601E+2
2.552261E+0     1.572487E+2     1.371492E+2
2.576913E+0     1.572221E+2     1.371492E+2
2.616709E+0     1.572114E+2     1.371448E+2
2.648547E+0     1.572142E+2     1.371554E+2
2.676165E+0     1.572305E+2     1.371504E+2
2.704500E+0     1.572306E+2     1.371553E+2
2.731691E+0     1.572350E+2     1.371553E+2
2.764535E+0     1.572144E+2     1.371369E+2
2.794569E+0     1.572295E+2     1.371524E+2
2.822419E+0     1.572202E+2     1.371421E+2
2.855546E+0     1.572223E+2     1.371576E+2
2.886302E+0     1.572421E+2     1.371576E+2
2.908866E+0     1.572135E+2     1.371398E+2
2.936216E+0     1.572009E+2     1.371356E+2
2.969056E+0     1.572115E+2     1.371400E+2
3.003052E+0     1.572311E+2     1.371543E+2
