/* F3 - Waermeleitung in Kristallen - HZB - Hanjo Ryll, Bastian Klemke
/* Spannung am Agilent 6.667000E+0 V
/* Pulszeit am Agilent 2.000000E-2 s
/* t [s]   R1 [Ohm]  R2 [Ohm] 
-1.500000E+0     1.572552E+2     1.371632E+2
-1.471453E+0     1.572466E+2     1.371632E+2
-1.443690E+0     1.572479E+2     1.371598E+2
-1.413858E+0     1.572539E+2     1.371629E+2
-1.389654E+0     1.572447E+2     1.371693E+2
-1.367769E+0     1.572583E+2     1.371719E+2
-1.343708E+0     1.572583E+2     1.371632E+2
-1.319440E+0     1.572466E+2     1.371632E+2
-1.293751E+0     1.572439E+2     1.371508E+2
-1.268518E+0     1.572553E+2     1.371543E+2
-1.238297E+0     1.572297E+2     1.371561E+2
-1.211446E+0     1.572623E+2     1.371762E+2
-1.179145E+0     1.572473E+2     1.371654E+2
-1.150200E+0     1.572410E+2     1.371654E+2
-1.128065E+0     1.572410E+2     1.371617E+2
-1.104187E+0     1.572580E+2     1.371766E+2
-1.082047E+0     1.572419E+2     1.371631E+2
-1.060074E+0     1.572439E+2     1.371642E+2
-1.031039E+0     1.572462E+2     1.371710E+2
-1.003809E+0     1.572638E+2     1.371710E+2
-9.804287E-1     1.572554E+2     1.371743E+2
-9.572062E-1     1.572454E+2     1.371668E+2
-9.284754E-1     1.572439E+2     1.371676E+2
-9.062829E-1     1.572439E+2     1.371602E+2
-8.803058E-1     1.572519E+2     1.371690E+2
-8.504233E-1     1.572500E+2     1.371690E+2
-8.227949E-1     1.572617E+2     1.371636E+2
-7.914920E-1     1.572641E+2     1.371751E+2
-7.592006E-1     1.572537E+2     1.371653E+2
-7.314534E-1     1.572354E+2     1.371546E+2
-7.014594E-1     1.572589E+2     1.371713E+2
-6.759000E-1     1.572589E+2     1.371713E+2
-6.414943E-1     1.572499E+2     1.371673E+2
-6.104136E-1     1.572500E+2     1.371660E+2
-5.853424E-1     1.572361E+2     1.371536E+2
-5.544858E-1     1.572519E+2     1.371729E+2
-5.235310E-1     1.572516E+2     1.371729E+2
-4.937506E-1     1.572436E+2     1.371485E+2
-4.587350E-1     1.572579E+2     1.371772E+2
-4.343553E-1     1.572669E+2     1.371636E+2
-4.094543E-1     1.572420E+2     1.371606E+2
-3.837757E-1     1.572395E+2     1.371666E+2
-3.527646E-1     1.572540E+2     1.371666E+2
-3.247252E-1     1.572495E+2     1.371868E+2
-2.937293E-1     1.572592E+2     1.371798E+2
-2.613249E-1     1.572565E+2     1.371708E+2
-2.337613E-1     1.572565E+2     1.371572E+2
-2.038274E-1     1.572515E+2     1.371605E+2
-1.750302E-1     1.572493E+2     1.371702E+2
-1.443810E-1     1.572515E+2     1.371973E+2
-1.157618E-1     1.572905E+2     1.371889E+2
-8.366871E-2     1.572622E+2     1.371768E+2
-5.843925E-2     1.572501E+2     1.371567E+2
-2.966976E-2     1.572469E+2     1.371567E+2
-6.000996E-3     1.572469E+2     1.371724E+2
1.771021E-2     1.572550E+2     1.371560E+2
0.000000E+0     1.572384E+2     1.371578E+2
3.442907E-2     1.571666E+2     1.370517E+2
6.119537E-2     1.570701E+2     1.370517E+2
9.133482E-2     1.570227E+2     1.369965E+2
1.141243E-1     1.569863E+2     1.369453E+2
1.441097E-1     1.569860E+2     1.369379E+2
1.768098E-1     1.569860E+2     1.369520E+2
2.091327E-1     1.569973E+2     1.369520E+2
2.341213E-1     1.570078E+2     1.369703E+2
2.679763E-1     1.569884E+2     1.369680E+2
2.916231E-1     1.570127E+2     1.369759E+2
